num_of_methods_propagated,expected_leaks,ground_truth,analysis_time,cg_edges,analysis_memory,stmts_propagated,reachable_methods,app_name,no_of_leaks,cg_name,num_edges_propagated,cg_construction_time,unexpected_leaks
2674723,0,-1,18071.61,1323107,49379.0,48658050,58022,gkeyboard,17,CHA,6436461,43.0,0
0,0,-1,1377.64,1022254,0.0,0,44524,gkeyboard,0,RTA,0,1365.0,0
20692,0,-1,18103.09,558454,54910.0,531336,40393,gkeyboard,12,VTA,76577,75.0,0
1867516,0,-1,18072.83,1323084,54252.0,35975346,58022,gkeyboard,15,CHA,2937913,43.0,0
0,0,-1,1381.09,1022254,0.0,0,44524,gkeyboard,0,RTA,0,1367.0,0
20839,0,-1,18101.37,561010,48620.0,526800,40420,gkeyboard,11,VTA,89381,78.0,0
-1,0,-1,5.31,2405,1663.0,-1,852,gkeyboard,0,s-2c,-1,3.33,0
-1,0,-1,3.14,2406,1093.0,-1,853,gkeyboard,0,2t,-1,1.11,0
-1,0,-1,3.55,2391,2015.0,-1,851,gkeyboard,0,Z-2o,-1,1.54,0
-1,0,-1,3.53,2391,1263.0,-1,851,gkeyboard,0,2h,-1,1.49,0
