num_of_methods_propagated,expected_leaks,ground_truth,analysis_time,cg_edges,analysis_memory,reachable_methods,app_name,no_of_leaks,cg_name,num_edges_propagated,cg_construction_time,unexpected_leaks
14985,6,13,2.06,2258,251.0,325,backflash,3,CHA,24110,0.43,4
12253,6,13,2.03,1890,92.0,269,backflash,3,VTA,24090,0.51,4
14359,6,13,2.16,2132,95.0,283,backflash,3,RTA,24081,0.64,4
12196,6,13,2.09,1880,78.0,269,backflash,3,SPARK,24095,0.62,4
10484,6,13,1.84,1571,257.0,235,backflash,3,insens,24107,0.36,4
10470,6,13,1.97,1571,103.0,235,backflash,3,B-2o,24092,0.46,4
10449,6,13,1.86,1571,227.0,235,backflash,3,D-2o,24077,0.37,4
10397,6,13,1.96,1571,245.0,235,backflash,3,D-2c,24091,0.46,4
10473,6,13,1.92,1571,246.0,235,backflash,3,1c,24088,0.43,4
10461,6,13,2.15,1571,122.0,235,backflash,3,2c,24084,0.57,4
10479,6,13,1.9,1571,89.0,235,backflash,3,1o,24099,0.37,4
10512,6,13,1.88,1571,226.0,235,backflash,3,2o,24100,0.38,4
10433,6,13,1.88,1571,262.0,235,backflash,3,1t,24098,0.36,4
10459,6,13,1.86,1571,221.0,235,backflash,3,2t,24101,0.36,4
10479,6,13,1.97,1571,227.0,235,backflash,3,1h,24100,0.39,4
10460,6,13,1.89,1571,82.0,235,backflash,3,2h,24079,0.38,4
10469,6,13,1.85,1571,220.0,235,backflash,3,1ht,24096,0.35,4
10506,6,13,1.89,1571,224.0,235,backflash,3,2ht,24081,0.36,4
10500,6,13,2.08,1571,91.0,235,backflash,3,M-1o,24105,0.54,4
10524,6,13,2.05,1571,91.0,235,backflash,3,M-2o,24093,0.51,4
10509,6,13,2.2,1571,93.0,235,backflash,3,M-1c,24107,0.62,4
10504,6,13,2.18,1571,88.0,235,backflash,3,M-2c,24099,0.63,4
10526,6,13,2.02,1571,130.0,235,backflash,3,E-1o,24094,0.52,4
10483,6,13,2.12,1571,129.0,235,backflash,3,E-2o,24099,0.55,4
10458,6,13,1.99,1571,121.0,235,backflash,3,T-1o,24098,0.47,4
10562,6,13,2.0,1571,105.0,235,backflash,3,T-2o,24104,0.46,4
10458,6,13,2.03,1571,95.0,235,backflash,3,Z-1o,24080,0.52,4
10451,6,13,2.04,1571,95.0,235,backflash,3,Z-2o,24099,0.51,4
10507,6,13,2.02,1571,100.0,235,backflash,3,Z-1c,24091,0.51,4
10456,6,13,2.04,1571,101.0,235,backflash,3,Z-2c,24097,0.52,4
10528,6,13,2.24,1571,118.0,235,backflash,3,s-1c,24106,0.72,4
10606,6,13,2.42,1571,117.0,235,backflash,3,s-2c,24112,0.8,4
