num_of_methods_propagated,expected_leaks,ground_truth,analysis_time,cg_edges,analysis_memory,reachable_methods,app_name,no_of_leaks,cg_name,num_edges_propagated,cg_construction_time,unexpected_leaks
58,0,3,1.68,746,85,295,beita_com_beita_contact,0,CHA,143,0.36,0
48,0,3,1.85,597,98,234,beita_com_beita_contact,0,VTA,142,0.49,0
49,0,3,1.89,635,122,246,beita_com_beita_contact,0,RTA,142,0.6,0
48,0,3,1.85,597,108,234,beita_com_beita_contact,0,SPARK,143,0.62,0
-1,0,3,1.5,348,74,140,beita_com_beita_contact,0,insens,-1,0.27,0
-1,0,3,1.71,348,100,140,beita_com_beita_contact,0,B-2o,-1,0.38,0
-1,0,3,1.51,348,76,140,beita_com_beita_contact,0,D-2o,-1,0.29,0
-1,0,3,2.65,348,79,140,beita_com_beita_contact,0,D-2c,-1,0.58,0
-1,0,3,1.69,348,79,140,beita_com_beita_contact,0,1c,-1,0.29,0
-1,0,3,1.47,348,75,140,beita_com_beita_contact,0,2c,-1,0.28,0
-1,0,3,1.53,348,75,140,beita_com_beita_contact,0,1o,-1,0.28,0
-1,0,3,1.52,348,74,140,beita_com_beita_contact,0,2o,-1,0.29,0
-1,0,3,1.51,348,73,140,beita_com_beita_contact,0,1t,-1,0.27,0
-1,0,3,1.49,348,72,140,beita_com_beita_contact,0,2t,-1,0.28,0
-1,0,3,1.51,348,73,140,beita_com_beita_contact,0,1h,-1,0.29,0
-1,0,3,1.53,348,73,140,beita_com_beita_contact,0,2h,-1,0.28,0
-1,0,3,1.48,348,74,140,beita_com_beita_contact,0,1ht,-1,0.26,0
-1,0,3,1.5,348,74,140,beita_com_beita_contact,0,2ht,-1,0.28,0
-1,0,3,1.65,348,105,140,beita_com_beita_contact,0,M-1o,-1,0.34,0
-1,0,3,1.53,348,105,140,beita_com_beita_contact,0,M-2o,-1,0.33,0
-1,0,3,1.64,348,104,140,beita_com_beita_contact,0,M-1c,-1,0.34,0
-1,0,3,1.65,348,108,140,beita_com_beita_contact,0,M-2c,-1,0.36,0
-1,0,3,1.59,348,96,140,beita_com_beita_contact,0,E-1o,-1,0.33,0
-1,0,3,1.65,348,97,140,beita_com_beita_contact,0,E-2o,-1,0.35,0
-1,0,3,1.59,348,113,140,beita_com_beita_contact,0,T-1o,-1,0.33,0
-1,0,3,2.11,348,112,140,beita_com_beita_contact,0,T-2o,-1,0.47,0
-1,0,3,2.12,348,89,140,beita_com_beita_contact,0,Z-1o,-1,0.55,0
-1,0,3,1.7,348,119,140,beita_com_beita_contact,0,Z-2o,-1,0.4,0
-1,0,3,1.7,348,119,140,beita_com_beita_contact,0,Z-1c,-1,0.42,0
-1,0,3,1.63,348,122,140,beita_com_beita_contact,0,Z-2c,-1,0.38,0
-1,0,3,1.78,348,96,140,beita_com_beita_contact,0,s-1c,-1,0.51,0
-1,0,3,1.76,348,94,140,beita_com_beita_contact,0,s-2c,-1,0.5,0
