num_of_methods_propagated,expected_leaks,ground_truth,analysis_time,cg_edges,analysis_memory,reachable_methods,app_name,no_of_leaks,cg_name,num_edges_propagated,cg_construction_time,unexpected_leaks
12973867,5,12,83.12,20937,4393.0,2728,cajino_baidu,7,CHA,21527218,2.01,2
20246,5,12,4.3,6680,289.0,1375,cajino_baidu,7,VTA,95573,2.19,2
8360354,5,12,86.94,11495,4405.0,1791,cajino_baidu,7,RTA,19370982,4.81,2
20113,5,12,6.16,6529,263.0,1369,cajino_baidu,7,SPARK,95566,4.05,2
1091,0,12,2.26,2135,99.0,565,cajino_baidu,0,insens,5924,0.76,0
1095,0,12,2.53,2135,133.0,565,cajino_baidu,0,B-2o,5924,1.09,0
1093,0,12,2.27,2135,107.0,565,cajino_baidu,0,D-2o,5910,0.79,0
1088,0,12,2.35,2135,95.0,565,cajino_baidu,0,D-2c,5914,0.85,0
1084,0,12,2.35,2135,117.0,565,cajino_baidu,0,1c,5927,0.86,0
1087,0,12,2.52,2135,130.0,565,cajino_baidu,0,2c,5925,1.01,0
1099,0,12,2.4,2135,109.0,565,cajino_baidu,0,1o,5925,0.85,0
1090,0,12,2.46,2135,110.0,565,cajino_baidu,0,2o,5913,0.89,0
1092,0,12,2.28,2135,93.0,565,cajino_baidu,0,1t,5926,0.77,0
1094,0,12,2.33,2135,107.0,565,cajino_baidu,0,2t,5926,0.82,0
1090,0,12,2.4,2135,113.0,565,cajino_baidu,0,1h,5925,0.88,0
1094,0,12,2.47,2135,122.0,565,cajino_baidu,0,2h,5926,0.93,0
1087,0,12,2.3,2135,106.0,565,cajino_baidu,0,1ht,5916,0.78,0
1086,0,12,2.24,2135,106.0,565,cajino_baidu,0,2ht,5922,0.75,0
1101,0,12,2.51,2135,123.0,565,cajino_baidu,0,M-1o,5908,0.97,0
1097,0,12,2.51,2135,149.0,565,cajino_baidu,0,M-2o,5925,1.0,0
1102,0,12,2.62,2135,136.0,565,cajino_baidu,0,M-1c,5917,1.01,0
1103,0,12,2.91,2135,180.0,565,cajino_baidu,0,M-2c,5921,1.31,0
1098,0,12,2.56,2137,109.0,565,cajino_baidu,0,E-1o,5926,0.97,0
1083,0,12,2.76,2137,112.0,565,cajino_baidu,0,E-2o,5925,1.06,0
1103,0,12,2.69,2135,149.0,565,cajino_baidu,0,T-1o,5920,1.01,0
1096,0,12,2.98,2135,149.0,565,cajino_baidu,0,T-2o,5923,1.1,0
1086,0,12,2.69,2135,141.0,565,cajino_baidu,0,Z-1o,5922,1.11,0
1091,0,12,2.64,2135,156.0,565,cajino_baidu,0,Z-2o,5919,1.05,0
1091,0,12,2.57,2135,157.0,565,cajino_baidu,0,Z-1c,5925,1.03,0
1083,0,12,2.61,2135,129.0,565,cajino_baidu,0,Z-2c,5912,1.05,0
1096,0,12,3.09,2135,156.0,565,cajino_baidu,0,s-1c,5925,1.53,0
1098,0,12,3.15,2135,191.0,565,cajino_baidu,0,s-2c,5926,1.6,0
