num_of_methods_propagated,expected_leaks,ground_truth,analysis_time,cg_edges,analysis_memory,reachable_methods,app_name,no_of_leaks,cg_name,num_edges_propagated,cg_construction_time,unexpected_leaks
27083,8,12,1.65,1049,116.0,364,chat_hook,10,CHA,80667,0.32,0
23000,8,12,1.89,688,146.0,169,chat_hook,10,VTA,80111,0.41,0
25438,8,12,2.27,728,175.0,179,chat_hook,10,RTA,80603,0.58,0
23163,8,12,2.02,688,131.0,169,chat_hook,10,SPARK,80236,0.46,0
20951,8,12,1.7,454,97.0,121,chat_hook,10,insens,78603,0.21,0
20747,8,12,1.7,454,127.0,121,chat_hook,10,B-2o,78541,0.25,0
20923,8,12,1.65,454,104.0,121,chat_hook,10,D-2o,78694,0.19,0
20820,8,12,1.82,454,118.0,121,chat_hook,10,D-2c,78664,0.23,0
20871,8,12,1.5,454,137.0,121,chat_hook,10,1c,78750,0.21,0
20882,8,12,1.75,454,135.0,121,chat_hook,10,2c,78634,0.24,0
20851,8,12,1.66,454,96.0,121,chat_hook,10,1o,78656,0.27,0
20918,8,12,2.1,454,100.0,121,chat_hook,10,2o,78650,0.37,0
20908,8,12,1.91,454,124.0,121,chat_hook,10,1t,78607,0.26,0
20768,8,12,1.49,454,126.0,121,chat_hook,10,2t,78628,0.19,0
20840,8,12,1.5,454,99.0,121,chat_hook,10,1h,78659,0.19,0
20767,8,12,1.52,454,96.0,121,chat_hook,10,2h,78613,0.2,0
20910,8,12,1.5,454,124.0,121,chat_hook,10,1ht,78695,0.2,0
20814,8,12,1.68,454,88.0,121,chat_hook,10,2ht,78592,0.25,0
20707,8,12,1.57,454,119.0,121,chat_hook,10,M-1o,78694,0.24,0
20826,8,12,1.57,454,88.0,121,chat_hook,10,M-2o,78643,0.25,0
20853,8,12,1.53,454,120.0,121,chat_hook,10,M-1c,78751,0.25,0
20767,8,12,1.54,454,149.0,121,chat_hook,10,M-2c,78643,0.25,0
20826,8,12,1.51,455,120.0,121,chat_hook,10,E-1o,78565,0.23,0
20862,8,12,1.52,455,116.0,121,chat_hook,10,E-2o,78676,0.23,0
20883,8,12,1.61,454,107.0,121,chat_hook,10,T-1o,78631,0.24,0
20757,8,12,1.51,454,135.0,121,chat_hook,10,T-2o,78674,0.24,0
20757,8,12,1.53,454,133.0,121,chat_hook,10,Z-1o,78619,0.26,0
20804,8,12,1.57,454,148.0,121,chat_hook,10,Z-2o,78712,0.28,0
20679,8,12,1.56,454,151.0,121,chat_hook,10,Z-1c,78645,0.27,0
20752,8,12,1.52,454,137.0,121,chat_hook,10,Z-2c,78669,0.26,0
20824,8,12,1.59,454,139.0,121,chat_hook,10,s-1c,78611,0.3,0
20817,8,12,1.6,454,157.0,121,chat_hook,10,s-2c,78627,0.31,0
