num_of_methods_propagated,expected_leaks,ground_truth,analysis_time,cg_edges,analysis_memory,reachable_methods,app_name,no_of_leaks,cg_name,num_edges_propagated,cg_construction_time,unexpected_leaks
-1,0,4,1.02,41,49,30,chulia,0,CHA,-1,0.07,0
-1,0,4,1.08,41,52,30,chulia,0,VTA,-1,0.12,0
-1,0,4,1.08,41,53,30,chulia,0,RTA,-1,0.12,0
-1,0,4,1.07,41,52,30,chulia,0,SPARK,-1,0.11,0
-1,0,4,1.06,35,64,28,chulia,0,insens,-1,0.09,0
-1,0,4,1.09,35,73,28,chulia,0,B-2o,-1,0.1,0
-1,0,4,1.07,35,64,28,chulia,0,D-2o,-1,0.09,0
-1,0,4,1.07,35,65,28,chulia,0,D-2c,-1,0.09,0
-1,0,4,1.1,35,59,28,chulia,0,1c,-1,0.08,0
-1,0,4,1.07,35,64,28,chulia,0,2c,-1,0.09,0
-1,0,4,1.03,35,63,28,chulia,0,1o,-1,0.09,0
-1,0,4,1.07,35,64,28,chulia,0,2o,-1,0.08,0
-1,0,4,1.07,35,64,28,chulia,0,1t,-1,0.09,0
-1,0,4,1.07,35,64,28,chulia,0,2t,-1,0.09,0
-1,0,4,1.11,35,59,28,chulia,0,1h,-1,0.07,0
-1,0,4,1.09,35,58,28,chulia,0,2h,-1,0.08,0
-1,0,4,1.11,35,63,28,chulia,0,1ht,-1,0.09,0
-1,0,4,1.72,35,58,28,chulia,0,2ht,-1,0.17,0
-1,0,4,1.31,35,70,28,chulia,0,M-1o,-1,0.12,0
-1,0,4,1.06,35,73,28,chulia,0,M-2o,-1,0.11,0
-1,0,4,1.1,35,73,28,chulia,0,M-1c,-1,0.11,0
-1,0,4,1.09,35,73,28,chulia,0,M-2c,-1,0.11,0
-1,0,4,1.16,35,68,28,chulia,0,E-1o,-1,0.09,0
-1,0,4,1.06,35,71,28,chulia,0,E-2o,-1,0.1,0
-1,0,4,1.11,35,72,28,chulia,0,T-1o,-1,0.11,0
-1,0,4,1.11,35,73,28,chulia,0,T-2o,-1,0.11,0
-1,0,4,1.17,35,76,28,chulia,0,Z-1o,-1,0.14,0
-1,0,4,1.13,35,76,28,chulia,0,Z-2o,-1,0.13,0
-1,0,4,1.13,35,76,28,chulia,0,Z-1c,-1,0.15,0
-1,0,4,1.12,35,76,28,chulia,0,Z-2c,-1,0.13,0
-1,0,4,1.12,35,72,28,chulia,0,s-1c,-1,0.11,0
-1,0,4,1.14,35,72,28,chulia,0,s-2c,-1,0.12,0
