num_of_methods_propagated,expected_leaks,ground_truth,analysis_time,cg_edges,analysis_memory,reachable_methods,app_name,no_of_leaks,cg_name,num_edges_propagated,cg_construction_time,unexpected_leaks
75,0,1,1.09,155,107.0,74,dsencrypt_samp,0,CHA,191,0.18,0
42,0,1,1.02,85,78.0,44,dsencrypt_samp,0,VTA,191,0.22,0
50,0,1,1.02,98,62.0,51,dsencrypt_samp,0,RTA,191,0.21,0
42,0,1,0.99,85,53.0,44,dsencrypt_samp,0,SPARK,190,0.2,0
41,0,1,1.0,82,67.0,43,dsencrypt_samp,0,insens,191,0.18,0
42,0,1,1.05,82,54.0,43,dsencrypt_samp,0,B-2o,191,0.19,0
42,0,1,1.02,82,65.0,43,dsencrypt_samp,0,D-2o,191,0.17,0
42,0,1,1.01,82,69.0,43,dsencrypt_samp,0,D-2c,191,0.18,0
42,0,1,0.99,82,56.0,43,dsencrypt_samp,0,1c,191,0.17,0
41,0,1,0.98,82,76.0,43,dsencrypt_samp,0,2c,191,0.19,0
42,0,1,0.98,82,76.0,43,dsencrypt_samp,0,1o,191,0.18,0
42,0,1,0.99,82,81.0,43,dsencrypt_samp,0,2o,190,0.16,0
42,0,1,0.98,82,59.0,43,dsencrypt_samp,0,1t,191,0.16,0
42,0,1,0.99,82,61.0,43,dsencrypt_samp,0,2t,190,0.16,0
42,0,1,1.0,82,59.0,43,dsencrypt_samp,0,1h,191,0.18,0
41,0,1,1.02,82,111.0,43,dsencrypt_samp,0,2h,190,0.18,0
42,0,1,0.99,82,57.0,43,dsencrypt_samp,0,1ht,190,0.17,0
42,0,1,0.99,82,58.0,43,dsencrypt_samp,0,2ht,191,0.16,0
42,0,1,1.03,82,86.0,43,dsencrypt_samp,0,M-1o,191,0.2,0
42,0,1,1.01,82,70.0,43,dsencrypt_samp,0,M-2o,191,0.2,0
40,0,1,1.04,82,72.0,43,dsencrypt_samp,0,M-1c,189,0.22,0
42,0,1,1.04,82,72.0,43,dsencrypt_samp,0,M-2c,190,0.23,0
42,0,1,1.03,82,68.0,43,dsencrypt_samp,0,E-1o,190,0.2,0
42,0,1,1.03,82,58.0,43,dsencrypt_samp,0,E-2o,191,0.19,0
42,0,1,1.26,82,77.0,43,dsencrypt_samp,0,T-1o,191,0.24,0
42,0,1,1.09,82,69.0,43,dsencrypt_samp,0,T-2o,191,0.2,0
42,0,1,1.04,82,72.0,43,dsencrypt_samp,0,Z-1o,191,0.22,0
42,0,1,1.04,82,75.0,43,dsencrypt_samp,0,Z-2o,191,0.22,0
41,0,1,1.04,82,79.0,43,dsencrypt_samp,0,Z-1c,189,0.21,0
42,0,1,1.06,82,79.0,43,dsencrypt_samp,0,Z-2c,188,0.22,0
42,0,1,1.05,82,81.0,43,dsencrypt_samp,0,s-1c,191,0.23,0
42,0,1,1.05,82,92.0,43,dsencrypt_samp,0,s-2c,191,0.24,0
