num_of_methods_propagated,expected_leaks,ground_truth,analysis_time,cg_edges,analysis_memory,reachable_methods,app_name,no_of_leaks,cg_name,num_edges_propagated,cg_construction_time,unexpected_leaks
139,0,2,0.93,127,101.0,64,exprespam,0,CHA,355,0.16,0
137,0,2,0.97,123,56.0,62,exprespam,0,VTA,355,0.21,0
140,0,2,0.95,126,104.0,63,exprespam,0,RTA,355,0.21,0
138,0,2,0.95,123,105.0,62,exprespam,0,SPARK,357,0.2,0
-1,0,2,0.77,30,89.0,26,exprespam,0,insens,-1,0.08,0
-1,0,2,0.8,30,93.0,26,exprespam,0,B-2o,-1,0.1,0
-1,0,2,0.77,30,87.0,26,exprespam,0,D-2o,-1,0.08,0
-1,0,2,0.78,30,86.0,26,exprespam,0,D-2c,-1,0.09,0
-1,0,2,0.78,30,87.0,26,exprespam,0,1c,-1,0.08,0
-1,0,2,0.77,30,87.0,26,exprespam,0,2c,-1,0.08,0
-1,0,2,0.79,30,87.0,26,exprespam,0,1o,-1,0.08,0
-1,0,2,0.8,30,85.0,26,exprespam,0,2o,-1,0.08,0
-1,0,2,0.82,30,86.0,26,exprespam,0,1t,-1,0.08,0
-1,0,2,0.82,30,86.0,26,exprespam,0,2t,-1,0.08,0
-1,0,2,0.82,30,87.0,26,exprespam,0,1h,-1,0.08,0
-1,0,2,0.82,30,87.0,26,exprespam,0,2h,-1,0.08,0
-1,0,2,0.82,30,85.0,26,exprespam,0,1ht,-1,0.08,0
-1,0,2,0.81,30,86.0,26,exprespam,0,2ht,-1,0.08,0
-1,0,2,0.82,30,97.0,26,exprespam,0,M-1o,-1,0.11,0
-1,0,2,0.84,30,97.0,26,exprespam,0,M-2o,-1,0.11,0
-1,0,2,0.82,30,96.0,26,exprespam,0,M-1c,-1,0.11,0
-1,0,2,0.82,30,95.0,26,exprespam,0,M-2c,-1,0.11,0
-1,0,2,0.82,30,97.0,26,exprespam,0,E-1o,-1,0.1,0
-1,0,2,0.82,30,99.0,26,exprespam,0,E-2o,-1,0.1,0
-1,0,2,0.82,30,97.0,26,exprespam,0,T-1o,-1,0.1,0
-1,0,2,0.82,30,96.0,26,exprespam,0,T-2o,-1,0.1,0
-1,0,2,0.85,30,102.0,26,exprespam,0,Z-1o,-1,0.12,0
-1,0,2,0.84,30,101.0,26,exprespam,0,Z-2o,-1,0.12,0
-1,0,2,0.84,30,57.0,26,exprespam,0,Z-1c,-1,0.12,0
-1,0,2,0.86,30,102.0,26,exprespam,0,Z-2c,-1,0.13,0
-1,0,2,0.83,30,98.0,26,exprespam,0,s-1c,-1,0.12,0
-1,0,2,0.85,30,96.0,26,exprespam,0,s-2c,-1,0.12,0
