num_of_methods_propagated,expected_leaks,ground_truth,analysis_time,cg_edges,analysis_memory,reachable_methods,app_name,no_of_leaks,cg_name,num_edges_propagated,cg_construction_time,unexpected_leaks
-1,0,3,1.16,44,69,27,fakeappstore,0,CHA,-1,0.06,0
-1,0,3,1.22,44,76,27,fakeappstore,0,VTA,-1,0.11,0
-1,0,3,1.21,44,74,27,fakeappstore,0,RTA,-1,0.11,0
-1,0,3,1.23,44,74,27,fakeappstore,0,SPARK,-1,0.1,0
-1,0,3,1.15,37,75,27,fakeappstore,0,insens,-1,0.06,0
-1,0,3,1.18,37,80,27,fakeappstore,0,B-2o,-1,0.08,0
-1,0,3,1.22,37,76,27,fakeappstore,0,D-2o,-1,0.07,0
-1,0,3,1.17,37,74,27,fakeappstore,0,D-2c,-1,0.06,0
-1,0,3,1.19,37,74,27,fakeappstore,0,1c,-1,0.06,0
-1,0,3,1.17,37,74,27,fakeappstore,0,2c,-1,0.06,0
-1,0,3,1.2,37,75,27,fakeappstore,0,1o,-1,0.06,0
-1,0,3,1.22,37,76,27,fakeappstore,0,2o,-1,0.06,0
-1,0,3,1.23,37,76,27,fakeappstore,0,1t,-1,0.05,0
-1,0,3,1.16,37,75,27,fakeappstore,0,2t,-1,0.06,0
-1,0,3,1.29,37,75,27,fakeappstore,0,1h,-1,0.06,0
-1,0,3,1.8,37,76,27,fakeappstore,0,2h,-1,0.06,0
-1,0,3,1.44,37,75,27,fakeappstore,0,1ht,-1,0.06,0
-1,0,3,1.16,37,75,27,fakeappstore,0,2ht,-1,0.06,0
-1,0,3,1.21,37,82,27,fakeappstore,0,M-1o,-1,0.09,0
-1,0,3,1.24,37,83,27,fakeappstore,0,M-2o,-1,0.08,0
-1,0,3,1.23,37,82,27,fakeappstore,0,M-1c,-1,0.09,0
-1,0,3,1.21,37,83,27,fakeappstore,0,M-2c,-1,0.08,0
-1,0,3,1.2,37,82,27,fakeappstore,0,E-1o,-1,0.07,0
-1,0,3,1.21,37,80,27,fakeappstore,0,E-2o,-1,0.07,0
-1,0,3,1.25,37,82,27,fakeappstore,0,T-1o,-1,0.08,0
-1,0,3,1.23,37,82,27,fakeappstore,0,T-2o,-1,0.09,0
-1,0,3,1.28,37,87,27,fakeappstore,0,Z-1o,-1,0.11,0
-1,0,3,1.37,37,86,27,fakeappstore,0,Z-2o,-1,0.11,0
-1,0,3,1.36,37,85,27,fakeappstore,0,Z-1c,-1,0.12,0
-1,0,3,1.31,37,87,27,fakeappstore,0,Z-2c,-1,0.1,0
-1,0,3,1.22,37,83,27,fakeappstore,0,s-1c,-1,0.09,0
-1,0,3,1.24,37,82,27,fakeappstore,0,s-2c,-1,0.09,0
