num_of_methods_propagated,expected_leaks,ground_truth,analysis_time,cg_edges,analysis_memory,reachable_methods,app_name,no_of_leaks,cg_name,num_edges_propagated,cg_construction_time,unexpected_leaks
233451,0,5,4.79,1716,200,367,fakebank_android_samp,4,CHA,815726,0.47,0
186583,0,5,5.08,874,178,240,fakebank_android_samp,4,VTA,811343,0.72,0
193899,0,5,5.62,1417,176,321,fakebank_android_samp,4,RTA,815723,0.95,0
186323,0,5,4.46,874,329,240,fakebank_android_samp,4,SPARK,810772,0.51,0
15163,0,5,3.01,598,138,189,fakebank_android_samp,4,insens,183869,0.32,0
15146,0,5,2.93,598,131,189,fakebank_android_samp,4,B-2o,184163,0.41,0
15020,0,5,2.33,598,133,189,fakebank_android_samp,4,D-2o,184220,0.25,0
15094,0,5,2.41,598,95,189,fakebank_android_samp,4,D-2c,184163,0.28,0
15134,0,5,2.48,598,135,189,fakebank_android_samp,4,1c,184173,0.32,0
15143,0,5,2.46,598,101,189,fakebank_android_samp,4,2c,184176,0.26,0
15142,0,5,2.53,598,139,189,fakebank_android_samp,4,1o,184061,0.26,0
15046,0,5,2.39,598,135,189,fakebank_android_samp,4,2o,184162,0.26,0
14891,0,5,2.45,598,139,189,fakebank_android_samp,4,1t,184255,0.27,0
15072,0,5,3.45,598,121,189,fakebank_android_samp,4,2t,184142,0.53,0
15096,0,5,2.43,598,120,189,fakebank_android_samp,4,1h,184207,0.26,0
15151,0,5,2.91,598,139,189,fakebank_android_samp,4,2h,184120,0.34,0
15074,0,5,2.37,598,135,189,fakebank_android_samp,4,1ht,184229,0.24,0
15084,0,5,2.41,598,130,189,fakebank_android_samp,4,2ht,184192,0.25,0
15069,0,5,2.59,598,124,189,fakebank_android_samp,4,M-1o,184212,0.4,0
15144,0,5,2.49,598,141,189,fakebank_android_samp,4,M-2o,184202,0.36,0
15058,0,5,2.59,598,145,189,fakebank_android_samp,4,M-1c,184266,0.37,0
15112,0,5,2.6,598,141,189,fakebank_android_samp,4,M-2c,184167,0.4,0
15070,0,5,2.46,601,120,190,fakebank_android_samp,4,E-1o,184220,0.34,0
15076,0,5,2.5,601,131,190,fakebank_android_samp,4,E-2o,184218,0.33,0
15020,0,5,2.5,598,147,189,fakebank_android_samp,4,T-1o,184178,0.35,0
15068,0,5,3.78,598,131,189,fakebank_android_samp,4,T-2o,184276,0.65,0
15217,0,5,2.99,598,136,189,fakebank_android_samp,4,Z-1o,183761,0.53,0
15162,0,5,3,598,141,189,fakebank_android_samp,4,Z-2o,184131,0.51,0
15119,0,5,2.56,598,140,189,fakebank_android_samp,4,Z-1c,184170,0.45,0
15108,0,5,2.52,598,139,189,fakebank_android_samp,4,Z-2c,184194,0.43,0
15065,0,5,2.68,598,140,189,fakebank_android_samp,4,s-1c,184219,0.53,0
15109,0,5,2.72,598,146,189,fakebank_android_samp,4,s-2c,184227,0.52,0
