num_of_methods_propagated,expected_leaks,ground_truth,analysis_time,cg_edges,analysis_memory,reachable_methods,app_name,no_of_leaks,cg_name,num_edges_propagated,cg_construction_time,unexpected_leaks
393,0,2,2.16,7534,206.0,1734,fakedaum,0,CHA,778,0.95,0
242,0,2,2.38,3645,104.0,936,fakedaum,0,VTA,776,1.22,0
329,0,2,3.2,5503,247.0,1209,fakedaum,0,RTA,777,2.01,0
243,0,2,2.14,1679,73.0,650,fakedaum,0,SPARK,778,1.07,0
-1,0,2,1.34,853,85.0,404,fakedaum,0,insens,-1,0.4,0
-1,0,2,1.57,853,181.0,404,fakedaum,0,B-2o,-1,0.62,0
-1,0,2,1.37,853,106.0,404,fakedaum,0,D-2o,-1,0.43,0
-1,0,2,1.4,853,105.0,404,fakedaum,0,D-2c,-1,0.46,0
-1,0,2,1.41,853,99.0,404,fakedaum,0,1c,-1,0.46,0
-1,0,2,1.64,853,183.0,404,fakedaum,0,2c,-1,0.69,0
-1,0,2,1.39,853,61.0,404,fakedaum,0,1o,-1,0.44,0
-1,0,2,1.43,853,111.0,404,fakedaum,0,2o,-1,0.52,0
-1,0,2,1.34,853,84.0,404,fakedaum,0,1t,-1,0.4,0
-1,0,2,1.35,853,87.0,404,fakedaum,0,2t,-1,0.41,0
-1,0,2,1.41,853,87.0,404,fakedaum,0,1h,-1,0.45,0
-1,0,2,1.53,853,136.0,404,fakedaum,0,2h,-1,0.59,0
-1,0,2,1.35,853,98.0,404,fakedaum,0,1ht,-1,0.41,0
-1,0,2,1.34,853,78.0,404,fakedaum,0,2ht,-1,0.4,0
-1,0,2,1.48,853,105.0,404,fakedaum,0,M-1o,-1,0.51,0
-1,0,2,1.55,853,144.0,404,fakedaum,0,M-2o,-1,0.58,0
-1,0,2,1.48,853,137.0,404,fakedaum,0,M-1c,-1,0.52,0
-1,0,2,1.7,853,211.0,404,fakedaum,0,M-2c,-1,0.77,0
-1,0,2,1.46,854,128.0,404,fakedaum,0,E-1o,-1,0.5,0
-1,0,2,1.5,854,131.0,404,fakedaum,0,E-2o,-1,0.55,0
-1,0,2,1.47,853,144.0,404,fakedaum,0,T-1o,-1,0.52,0
-1,0,2,1.57,853,156.0,404,fakedaum,0,T-2o,-1,0.62,0
-1,0,2,1.55,853,154.0,404,fakedaum,0,Z-1o,-1,0.59,0
-1,0,2,1.6,853,192.0,404,fakedaum,0,Z-2o,-1,0.63,0
-1,0,2,1.53,853,156.0,404,fakedaum,0,Z-1c,-1,0.58,0
-1,0,2,1.62,853,60.0,404,fakedaum,0,Z-2c,-1,0.66,0
-1,0,2,1.73,853,227.0,404,fakedaum,0,s-1c,-1,0.77,0
-1,0,2,1.91,853,265.0,404,fakedaum,0,s-2c,-1,0.94,0
