num_of_methods_propagated,expected_leaks,ground_truth,analysis_time,cg_edges,analysis_memory,reachable_methods,app_name,no_of_leaks,cg_name,num_edges_propagated,cg_construction_time,unexpected_leaks
-1,0,2,1.09,23,83,19,fakemart,0,CHA,-1,0.09,0
-1,0,2,1.36,23,54,19,fakemart,0,VTA,-1,0.17,0
-1,0,2,1.29,23,54,19,fakemart,0,RTA,-1,0.17,0
-1,0,2,1.33,23,52,19,fakemart,0,SPARK,-1,0.17,0
-1,0,2,1.07,21,57,18,fakemart,0,insens,-1,0.09,0
-1,0,2,1.14,21,68,18,fakemart,0,B-2o,-1,0.11,0
-1,0,2,1.37,21,59,18,fakemart,0,D-2o,-1,0.11,0
-1,0,2,1.1,21,59,18,fakemart,0,D-2c,-1,0.09,0
-1,0,2,1.07,21,58,18,fakemart,0,1c,-1,0.09,0
-1,0,2,1.38,21,58,18,fakemart,0,2c,-1,0.13,0
-1,0,2,1.09,21,58,18,fakemart,0,1o,-1,0.09,0
-1,0,2,1.11,21,59,18,fakemart,0,2o,-1,0.09,0
-1,0,2,1.93,21,59,18,fakemart,0,1t,-1,0.19,0
-1,0,2,1.16,21,57,18,fakemart,0,2t,-1,0.09,0
-1,0,2,1.1,21,57,18,fakemart,0,1h,-1,0.09,0
-1,0,2,1.07,21,59,18,fakemart,0,2h,-1,0.09,0
-1,0,2,1.08,21,57,18,fakemart,0,1ht,-1,0.09,0
-1,0,2,1.11,21,58,18,fakemart,0,2ht,-1,0.09,0
-1,0,2,1.12,21,69,18,fakemart,0,M-1o,-1,0.11,0
-1,0,2,1.2,21,69,18,fakemart,0,M-2o,-1,0.13,0
-1,0,2,1.15,21,68,18,fakemart,0,M-1c,-1,0.12,0
-1,0,2,1.14,21,69,18,fakemart,0,M-2c,-1,0.12,0
-1,0,2,1.09,21,66,18,fakemart,0,E-1o,-1,0.1,0
-1,0,2,1.16,21,66,18,fakemart,0,E-2o,-1,0.11,0
-1,0,2,1.13,21,68,18,fakemart,0,T-1o,-1,0.11,0
-1,0,2,1.1,21,70,18,fakemart,0,T-2o,-1,0.11,0
-1,0,2,1.18,21,73,18,fakemart,0,Z-1o,-1,0.14,0
-1,0,2,1.16,21,72,18,fakemart,0,Z-2o,-1,0.14,0
-1,0,2,1.16,21,73,18,fakemart,0,Z-1c,-1,0.14,0
-1,0,2,1.21,21,71,18,fakemart,0,Z-2c,-1,0.14,0
-1,0,2,1.14,21,70,18,fakemart,0,s-1c,-1,0.12,0
-1,0,2,1.13,21,69,18,fakemart,0,s-2c,-1,0.12,0
