num_of_methods_propagated,expected_leaks,ground_truth,analysis_time,cg_edges,analysis_memory,reachable_methods,app_name,no_of_leaks,cg_name,num_edges_propagated,cg_construction_time,unexpected_leaks
-1,0,2,1.98,621,113,246,fakeplay,0,CHA,-1,0.43,0
-1,0,2,1.8,506,101,211,fakeplay,0,VTA,-1,0.43,0
-1,0,2,1.65,530,110,215,fakeplay,0,RTA,-1,0.44,0
-1,0,2,1.59,500,97,209,fakeplay,0,SPARK,-1,0.37,0
-1,0,2,1.55,389,97,189,fakeplay,0,insens,-1,0.29,0
-1,0,2,1.79,379,119,185,fakeplay,0,B-2o,-1,0.39,0
-1,0,2,1.59,389,97,189,fakeplay,0,D-2o,-1,0.32,0
-1,0,2,1.58,389,100,189,fakeplay,0,D-2c,-1,0.31,0
-1,0,2,1.61,389,101,189,fakeplay,0,1c,-1,0.33,0
-1,0,2,1.63,379,102,185,fakeplay,0,2c,-1,0.33,0
-1,0,2,1.61,379,96,185,fakeplay,0,1o,-1,0.33,0
-1,0,2,1.57,379,97,185,fakeplay,0,2o,-1,0.32,0
-1,0,2,1.59,379,96,185,fakeplay,0,1t,-1,0.32,0
-1,0,2,1.74,379,97,185,fakeplay,0,2t,-1,0.32,0
-1,0,2,2.45,379,92,185,fakeplay,0,1h,-1,0.32,0
-1,0,2,1.83,379,96,185,fakeplay,0,2h,-1,0.41,0
-1,0,2,1.75,389,97,189,fakeplay,0,1ht,-1,0.33,0
-1,0,2,1.77,389,96,189,fakeplay,0,2ht,-1,0.36,0
-1,0,2,1.92,379,122,185,fakeplay,0,M-1o,-1,0.4,0
-1,0,2,1.78,379,123,185,fakeplay,0,M-2o,-1,0.38,0
-1,0,2,1.75,389,123,189,fakeplay,0,M-1c,-1,0.41,0
-1,0,2,1.74,379,125,185,fakeplay,0,M-2c,-1,0.42,0
-1,0,2,1.6,379,118,185,fakeplay,0,E-1o,-1,0.35,0
-1,0,2,1.65,379,117,185,fakeplay,0,E-2o,-1,0.35,0
-1,0,2,1.74,379,128,185,fakeplay,0,T-1o,-1,0.41,0
-1,0,2,1.75,379,128,185,fakeplay,0,T-2o,-1,0.36,0
-1,0,2,1.77,389,139,189,fakeplay,0,Z-1o,-1,0.47,0
-1,0,2,1.76,389,139,189,fakeplay,0,Z-2o,-1,0.44,0
-1,0,2,1.91,389,139,189,fakeplay,0,Z-1c,-1,0.48,0
-1,0,2,1.74,389,139,189,fakeplay,0,Z-2c,-1,0.44,0
-1,0,2,2.76,389,92,189,fakeplay,0,s-1c,-1,1.04,0
-1,0,2,2.2,379,98,185,fakeplay,0,s-2c,-1,0.54,0
