num_of_methods_propagated,expected_leaks,ground_truth,analysis_time,cg_edges,analysis_memory,reachable_methods,app_name,no_of_leaks,cg_name,num_edges_propagated,cg_construction_time,unexpected_leaks
260,0,4,1.48,283,92,135,faketaobao,0,CHA,574,0.22,0
215,0,4,1.57,226,102,108,faketaobao,0,VTA,574,0.32,0
224,0,4,1.48,237,105,108,faketaobao,0,RTA,574,0.32,0
215,0,4,1.53,226,97,108,faketaobao,0,SPARK,574,0.28,0
-1,0,4,1.46,129,93,81,faketaobao,0,insens,-1,0.23,0
-1,0,4,1.37,129,112,81,faketaobao,0,B-2o,-1,0.24,0
-1,0,4,1.43,129,94,81,faketaobao,0,D-2o,-1,0.21,0
-1,0,4,1.36,129,96,81,faketaobao,0,D-2c,-1,0.2,0
-1,0,4,1.33,129,94,81,faketaobao,0,1c,-1,0.19,0
-1,0,4,1.42,129,97,81,faketaobao,0,2c,-1,0.2,0
-1,0,4,1.31,129,94,81,faketaobao,0,1o,-1,0.19,0
-1,0,4,1.35,129,94,81,faketaobao,0,2o,-1,0.19,0
-1,0,4,1.33,129,94,81,faketaobao,0,1t,-1,0.2,0
-1,0,4,1.31,129,93,81,faketaobao,0,2t,-1,0.19,0
-1,0,4,1.35,129,94,81,faketaobao,0,1h,-1,0.2,0
-1,0,4,1.32,129,94,81,faketaobao,0,2h,-1,0.19,0
-1,0,4,1.33,129,94,81,faketaobao,0,1ht,-1,0.19,0
-1,0,4,1.3,129,95,81,faketaobao,0,2ht,-1,0.18,0
-1,0,4,2.13,129,113,81,faketaobao,0,M-1o,-1,0.4,0
-1,0,4,1.72,129,112,81,faketaobao,0,M-2o,-1,0.46,0
-1,0,4,1.43,129,112,81,faketaobao,0,M-1c,-1,0.25,0
-1,0,4,1.38,129,114,81,faketaobao,0,M-2c,-1,0.24,0
-1,0,4,1.44,129,123,81,faketaobao,0,E-1o,-1,0.24,0
-1,0,4,1.42,129,123,81,faketaobao,0,E-2o,-1,0.23,0
-1,0,4,1.36,129,115,81,faketaobao,0,T-1o,-1,0.23,0
-1,0,4,1.42,129,115,81,faketaobao,0,T-2o,-1,0.23,0
-1,0,4,1.43,129,126,81,faketaobao,0,Z-1o,-1,0.28,0
-1,0,4,1.5,129,75,81,faketaobao,0,Z-2o,-1,0.28,0
-1,0,4,1.4,129,126,81,faketaobao,0,Z-1c,-1,0.27,0
-1,0,4,1.48,129,126,81,faketaobao,0,Z-2c,-1,0.28,0
-1,0,4,1.49,129,78,81,faketaobao,0,s-1c,-1,0.29,0
-1,0,4,1.51,129,79,81,faketaobao,0,s-2c,-1,0.29,0
