num_of_methods_propagated,expected_leaks,ground_truth,analysis_time,cg_edges,analysis_memory,reachable_methods,app_name,no_of_leaks,cg_name,num_edges_propagated,cg_construction_time,unexpected_leaks
-1,0,6,1.11,11,46,10,godwon_samp,0,CHA,-1,0.05,0
-1,0,6,1.24,11,79,10,godwon_samp,0,VTA,-1,0.11,0
-1,0,6,1.21,11,79,10,godwon_samp,0,RTA,-1,0.16,0
-1,0,6,1.22,11,78,10,godwon_samp,0,SPARK,-1,0.09,0
-1,0,6,0.99,10,52,10,godwon_samp,0,insens,-1,0.04,0
-1,0,6,1.29,10,55,10,godwon_samp,0,B-2o,-1,0.09,0
-1,0,6,1.22,10,58,10,godwon_samp,0,D-2o,-1,0.05,0
-1,0,6,0.97,10,80,10,godwon_samp,0,D-2c,-1,0.04,0
-1,0,6,0.96,10,53,10,godwon_samp,0,1c,-1,0.04,0
-1,0,6,1.2,10,80,10,godwon_samp,0,2c,-1,0.05,0
-1,0,6,0.96,10,80,10,godwon_samp,0,1o,-1,0.04,0
-1,0,6,1,10,53,10,godwon_samp,0,2o,-1,0.04,0
-1,0,6,1.02,10,54,10,godwon_samp,0,1t,-1,0.04,0
-1,0,6,0.98,10,80,10,godwon_samp,0,2t,-1,0.04,0
-1,0,6,0.98,10,55,10,godwon_samp,0,1h,-1,0.04,0
-1,0,6,0.99,10,79,10,godwon_samp,0,2h,-1,0.04,0
-1,0,6,1.02,10,55,10,godwon_samp,0,1ht,-1,0.04,0
-1,0,6,0.95,10,80,10,godwon_samp,0,2ht,-1,0.04,0
-1,0,6,1.68,10,69,10,godwon_samp,0,M-1o,-1,0.11,0
-1,0,6,1.26,10,64,10,godwon_samp,0,M-2o,-1,0.06,0
-1,0,6,1.17,10,61,10,godwon_samp,0,M-1c,-1,0.06,0
-1,0,6,1,10,62,10,godwon_samp,0,M-2c,-1,0.06,0
-1,0,6,1,10,61,10,godwon_samp,0,E-1o,-1,0.05,0
-1,0,6,0.99,10,59,10,godwon_samp,0,E-2o,-1,0.05,0
-1,0,6,0.96,10,62,10,godwon_samp,0,T-1o,-1,0.05,0
-1,0,6,1.08,10,55,10,godwon_samp,0,T-2o,-1,0.06,0
-1,0,6,1.05,10,64,10,godwon_samp,0,Z-1o,-1,0.07,0
-1,0,6,1.01,10,63,10,godwon_samp,0,Z-2o,-1,0.07,0
-1,0,6,1,10,62,10,godwon_samp,0,Z-1c,-1,0.07,0
-1,0,6,1.07,10,61,10,godwon_samp,0,Z-2c,-1,0.07,0
-1,0,6,1.05,10,60,10,godwon_samp,0,s-1c,-1,0.06,0
-1,0,6,1.03,10,55,10,godwon_samp,0,s-2c,-1,0.06,0
