num_of_methods_propagated,expected_leaks,ground_truth,analysis_time,cg_edges,analysis_memory,reachable_methods,app_name,no_of_leaks,cg_name,num_edges_propagated,cg_construction_time,unexpected_leaks
227788,0,2,30.26,129376,957,16532,hummingbad_android_samp,0,CHA,1847172,14.08,0
1824380,0,2,38.86,33610,1303,7824,hummingbad_android_samp,0,VTA,3482734,17.58,0
133112,0,2,122.87,79932,1266,11722,hummingbad_android_samp,0,RTA,1203439,111.6,0
405196,0,2,17.55,3657,605,1185,hummingbad_android_samp,0,SPARK,2145661,7.71,0
10943,0,2,5.53,980,192,470,hummingbad_android_samp,0,insens,213244,0.86,0
10878,0,2,5.02,980,153,470,hummingbad_android_samp,0,B-2o,213452,1.07,0
10836,0,2,4.69,980,184,470,hummingbad_android_samp,0,D-2o,213510,0.82,0
10835,0,2,4.79,980,198,470,hummingbad_android_samp,0,D-2c,212849,0.94,0
10953,0,2,4.67,980,173,470,hummingbad_android_samp,0,1c,213682,0.85,0
10851,0,2,4.91,980,197,470,hummingbad_android_samp,0,2c,213516,1.01,0
10656,0,2,5.49,980,159,470,hummingbad_android_samp,0,1o,213155,0.92,0
10901,0,2,5,980,154,470,hummingbad_android_samp,0,2o,213006,0.87,0
10887,0,2,4.87,980,209,470,hummingbad_android_samp,0,1t,213485,0.81,0
10864,0,2,4.59,980,222,470,hummingbad_android_samp,0,2t,213761,0.81,0
10827,0,2,3.81,980,208,470,hummingbad_android_samp,0,1h,213836,0.64,0
10833,0,2,3.86,980,159,470,hummingbad_android_samp,0,2h,213650,0.7,0
10819,0,2,3.77,980,149,470,hummingbad_android_samp,0,1ht,213619,0.6,0
10839,0,2,4.62,980,149,470,hummingbad_android_samp,0,2ht,213722,0.83,0
10857,0,2,5.14,980,262,470,hummingbad_android_samp,0,M-1o,212789,0.92,0
10875,0,2,4.63,980,159,470,hummingbad_android_samp,0,M-2o,213832,0.93,0
10776,0,2,3.86,980,195,470,hummingbad_android_samp,0,M-1c,213546,0.77,0
10799,0,2,4.1,980,243,470,hummingbad_android_samp,0,M-2c,213644,0.93,0
10845,0,2,4.68,984,202,470,hummingbad_android_samp,0,E-1o,213476,0.94,0
10864,0,2,4.56,984,193,470,hummingbad_android_samp,0,E-2o,213392,0.93,0
10811,0,2,4.79,980,217,470,hummingbad_android_samp,0,T-1o,213813,0.97,0
10771,0,2,5.42,980,207,470,hummingbad_android_samp,0,T-2o,213210,0.95,0
10885,0,2,4.67,980,190,470,hummingbad_android_samp,0,Z-1o,213068,1.06,0
10865,0,2,4.46,980,194,470,hummingbad_android_samp,0,Z-2o,213485,1.02,0
10878,0,2,4.48,980,152,470,hummingbad_android_samp,0,Z-1c,213994,1,0
10876,0,2,4.69,980,227,470,hummingbad_android_samp,0,Z-2c,213339,1.1,0
10865,0,2,5.34,980,234,470,hummingbad_android_samp,0,s-1c,212366,1.71,0
10879,0,2,6.26,980,212,470,hummingbad_android_samp,0,s-2c,213866,2.27,0
