num_of_methods_propagated,expected_leaks,ground_truth,analysis_time,cg_edges,analysis_memory,reachable_methods,app_name,no_of_leaks,cg_name,num_edges_propagated,cg_construction_time,unexpected_leaks
5234,0,1,4,10161,83,2319,jollyserv,1,CHA,8320,1.72,0
216,0,1,4.28,576,175,273,jollyserv,1,VTA,728,2.79,0
220,0,1,5.33,1771,194,698,jollyserv,1,RTA,741,3.28,0
216,0,1,1.99,572,83,270,jollyserv,1,SPARK,729,0.43,0
211,0,1,1.98,518,132,262,jollyserv,1,insens,729,0.38,0
210,0,1,2,518,103,262,jollyserv,1,B-2o,729,0.49,0
209,0,1,1.94,518,133,262,jollyserv,1,D-2o,728,0.38,0
211,0,1,1.95,518,141,262,jollyserv,1,D-2c,729,0.39,0
210,0,1,1.96,518,138,262,jollyserv,1,1c,729,0.33,0
209,0,1,1.93,518,144,262,jollyserv,1,2c,729,0.42,0
211,0,1,2.03,518,141,262,jollyserv,1,1o,728,0.42,0
210,0,1,1.99,518,142,262,jollyserv,1,2o,729,0.4,0
209,0,1,1.96,518,135,262,jollyserv,1,1t,728,0.34,0
210,0,1,1.97,518,139,262,jollyserv,1,2t,729,0.37,0
211,0,1,1.97,518,140,262,jollyserv,1,1h,729,0.38,0
209,0,1,1.94,518,81,262,jollyserv,1,2h,729,0.41,0
209,0,1,1.86,518,91,262,jollyserv,1,1ht,729,0.36,0
211,0,1,1.89,518,133,262,jollyserv,1,2ht,729,0.38,0
210,0,1,2.02,518,99,262,jollyserv,1,M-1o,729,0.47,0
211,0,1,2.04,518,101,262,jollyserv,1,M-2o,729,0.46,0
211,0,1,2.04,518,108,262,jollyserv,1,M-1c,728,0.47,0
210,0,1,2.02,518,103,262,jollyserv,1,M-2c,727,0.5,0
210,0,1,1.99,518,94,262,jollyserv,1,E-1o,729,0.45,0
206,0,1,1.95,518,100,262,jollyserv,1,E-2o,729,0.43,0
211,0,1,2.82,518,123,262,jollyserv,1,T-1o,729,0.79,0
211,0,1,2.41,518,139,262,jollyserv,1,T-2o,729,0.6,0
211,0,1,2.67,518,123,262,jollyserv,1,Z-1o,729,0.73,0
211,0,1,2.12,518,110,262,jollyserv,1,Z-2o,729,0.56,0
210,0,1,2.12,518,108,262,jollyserv,1,Z-1c,729,0.56,0
210,0,1,2.18,518,105,262,jollyserv,1,Z-2c,729,0.62,0
211,0,1,2.39,518,111,262,jollyserv,1,s-1c,728,0.78,0
209,0,1,2.36,518,113,262,jollyserv,1,s-2c,729,0.76,0
