num_of_methods_propagated,expected_leaks,ground_truth,analysis_time,cg_edges,analysis_memory,reachable_methods,app_name,no_of_leaks,cg_name,num_edges_propagated,cg_construction_time,unexpected_leaks
705,0,7,1.38,803,89.0,272,overlaylocker2_android_samp,6,CHA,1788,0.2,0
411,0,7,1.39,480,103.0,198,overlaylocker2_android_samp,6,VTA,1786,0.28,0
597,0,7,1.47,603,115.0,214,overlaylocker2_android_samp,6,RTA,1782,0.33,0
404,0,7,1.44,480,99.0,198,overlaylocker2_android_samp,6,SPARK,1783,0.24,0
381,0,7,1.35,404,87.0,180,overlaylocker2_android_samp,6,insens,1787,0.18,0
375,0,7,1.39,404,108.0,180,overlaylocker2_android_samp,6,B-2o,1787,0.25,0
385,0,7,1.35,404,95.0,180,overlaylocker2_android_samp,6,D-2o,1786,0.19,0
383,0,7,1.38,404,94.0,180,overlaylocker2_android_samp,6,D-2c,1785,0.2,0
382,0,7,1.34,404,96.0,180,overlaylocker2_android_samp,6,1c,1786,0.19,0
376,0,7,1.37,404,91.0,180,overlaylocker2_android_samp,6,2c,1787,0.21,0
382,0,7,1.36,404,97.0,180,overlaylocker2_android_samp,6,1o,1786,0.19,0
382,0,7,1.35,404,92.0,180,overlaylocker2_android_samp,6,2o,1786,0.2,0
378,0,7,1.39,404,101.0,180,overlaylocker2_android_samp,6,1t,1786,0.22,0
381,0,7,1.35,404,88.0,180,overlaylocker2_android_samp,6,2t,1786,0.19,0
383,0,7,1.37,404,91.0,180,overlaylocker2_android_samp,6,1h,1788,0.2,0
379,0,7,1.4,404,94.0,180,overlaylocker2_android_samp,6,2h,1787,0.19,0
383,0,7,1.35,404,90.0,180,overlaylocker2_android_samp,6,1ht,1784,0.19,0
384,0,7,1.34,404,91.0,180,overlaylocker2_android_samp,6,2ht,1784,0.18,0
384,0,7,1.41,404,113.0,180,overlaylocker2_android_samp,6,M-1o,1788,0.25,0
384,0,7,1.42,404,108.0,180,overlaylocker2_android_samp,6,M-2o,1787,0.23,0
378,0,7,1.41,404,107.0,180,overlaylocker2_android_samp,6,M-1c,1786,0.26,0
385,0,7,1.43,404,117.0,180,overlaylocker2_android_samp,6,M-2c,1785,0.25,0
366,0,7,1.42,404,122.0,180,overlaylocker2_android_samp,6,E-1o,1788,0.22,0
381,0,7,1.41,404,106.0,180,overlaylocker2_android_samp,6,E-2o,1788,0.23,0
382,0,7,1.41,404,149.0,180,overlaylocker2_android_samp,6,T-1o,1787,0.25,0
385,0,7,1.42,404,95.0,180,overlaylocker2_android_samp,6,T-2o,1787,0.25,0
384,0,7,1.42,404,144.0,180,overlaylocker2_android_samp,6,Z-1o,1787,0.28,0
383,0,7,1.46,404,140.0,180,overlaylocker2_android_samp,6,Z-2o,1786,0.28,0
379,0,7,1.47,404,77.0,180,overlaylocker2_android_samp,6,Z-1c,1784,0.28,0
381,0,7,1.43,404,144.0,180,overlaylocker2_android_samp,6,Z-2c,1785,0.28,0
382,0,7,1.51,404,180.0,180,overlaylocker2_android_samp,6,s-1c,1788,0.32,0
382,0,7,1.52,404,149.0,180,overlaylocker2_android_samp,6,s-2c,1787,0.36,0
