num_of_methods_propagated,expected_leaks,ground_truth,analysis_time,cg_edges,analysis_memory,reachable_methods,app_name,no_of_leaks,cg_name,num_edges_propagated,cg_construction_time,unexpected_leaks
688,2,2,2.27,6628,226.0,1276,phospy,3,CHA,2929,1.02,1
605,2,2,2.46,4572,96.0,977,phospy,3,VTA,2928,1.27,1
615,2,2,3.16,5783,164.0,1102,phospy,3,RTA,2929,2.0,1
608,2,2,2.56,4439,144.0,949,phospy,3,SPARK,2928,1.41,1
-1,0,2,2.05,3796,90.0,904,phospy,0,insens,-1,0.96,0
-1,0,2,2.55,3790,94.0,904,phospy,0,B-2o,-1,1.47,0
-1,0,2,2.14,3796,102.0,904,phospy,0,D-2o,-1,1.03,0
-1,0,2,2.19,3796,129.0,904,phospy,0,D-2c,-1,1.06,0
-1,0,2,2.37,3775,104.0,904,phospy,0,1c,-1,1.29,0
-1,0,2,8.4,3775,852.0,904,phospy,0,2c,-1,7.28,0
-1,0,2,2.27,3790,178.0,904,phospy,0,1o,-1,1.13,0
-1,0,2,2.24,3790,249.0,904,phospy,0,2o,-1,1.17,0
-1,0,2,2.12,3795,118.0,904,phospy,0,1t,-1,1.0,0
-1,0,2,2.1,3790,126.0,904,phospy,0,2t,-1,1.0,0
-1,0,2,2.27,3790,163.0,904,phospy,0,1h,-1,1.16,0
-1,0,2,2.29,3790,272.0,904,phospy,0,2h,-1,1.21,0
-1,0,2,2.08,3796,103.0,904,phospy,0,1ht,-1,0.93,0
-1,0,2,2.03,3796,128.0,904,phospy,0,2ht,-1,0.93,0
-1,0,2,2.29,3790,232.0,904,phospy,0,M-1o,-1,1.18,0
-1,0,2,2.27,3790,238.0,904,phospy,0,M-2o,-1,1.19,0
-1,0,2,2.39,3775,78.0,904,phospy,0,M-1c,-1,1.3,0
-1,0,2,4.93,3775,659.0,904,phospy,0,M-2c,-1,3.78,0
-1,0,2,2.38,3792,235.0,905,phospy,0,E-1o,-1,1.25,0
-1,0,2,2.31,3792,252.0,905,phospy,0,E-2o,-1,1.22,0
-1,0,2,2.41,3790,114.0,904,phospy,0,T-1o,-1,1.3,0
-1,0,2,2.44,3790,116.0,904,phospy,0,T-2o,-1,1.33,0
-1,0,2,2.45,3796,71.0,904,phospy,0,Z-1o,-1,1.36,0
-1,0,2,2.45,3796,72.0,904,phospy,0,Z-2o,-1,1.35,0
-1,0,2,2.45,3781,71.0,904,phospy,0,Z-1c,-1,1.34,0
-1,0,2,2.55,3781,73.0,904,phospy,0,Z-2c,-1,1.44,0
-1,0,2,3.18,3775,224.0,904,phospy,0,s-1c,-1,2.06,0
-1,0,2,7.63,3775,419.0,904,phospy,0,s-2c,-1,6.5,0
