num_of_methods_propagated,expected_leaks,ground_truth,analysis_time,cg_edges,analysis_memory,reachable_methods,app_name,no_of_leaks,cg_name,num_edges_propagated,cg_construction_time,unexpected_leaks
9796,5,17,1.49,733,183.0,219,proxy_samp,3,CHA,44039,0.29,0
8713,5,17,1.49,638,194.0,177,proxy_samp,3,VTA,44044,0.34,0
8827,5,17,1.53,681,205.0,188,proxy_samp,3,RTA,44046,0.38,0
8487,5,17,1.57,633,204.0,177,proxy_samp,3,SPARK,44061,0.41,0
6970,4,17,1.36,388,162.0,126,proxy_samp,2,insens,42471,0.21,0
6969,4,17,1.38,388,180.0,126,proxy_samp,2,B-2o,42473,0.26,0
6957,4,17,1.36,388,162.0,126,proxy_samp,2,D-2o,42452,0.21,0
6952,4,17,1.51,388,165.0,126,proxy_samp,2,D-2c,42463,0.23,0
6960,4,17,1.47,388,164.0,126,proxy_samp,2,1c,42463,0.26,0
6957,4,17,1.4,388,181.0,126,proxy_samp,2,2c,42453,0.26,0
6973,4,17,1.37,388,175.0,126,proxy_samp,2,1o,42470,0.22,0
6964,4,17,1.35,388,163.0,126,proxy_samp,2,2o,42465,0.22,0
6996,4,17,1.47,388,166.0,126,proxy_samp,2,1t,42486,0.26,0
6963,4,17,1.42,388,161.0,126,proxy_samp,2,2t,42454,0.23,0
6980,4,17,1.51,388,173.0,126,proxy_samp,2,1h,42470,0.23,0
6978,4,17,1.38,388,168.0,126,proxy_samp,2,2h,42433,0.24,0
6957,4,17,1.35,388,157.0,126,proxy_samp,2,1ht,42473,0.22,0
6969,4,17,1.35,388,161.0,126,proxy_samp,2,2ht,42448,0.21,0
6955,4,17,1.42,388,194.0,126,proxy_samp,2,M-1o,42455,0.27,0
6981,4,17,1.49,388,181.0,126,proxy_samp,2,M-2o,42437,0.3,0
6963,4,17,1.5,388,196.0,126,proxy_samp,2,M-1c,42453,0.3,0
6942,4,17,1.52,388,202.0,126,proxy_samp,2,M-2c,42450,0.37,0
6962,4,17,1.42,388,179.0,126,proxy_samp,2,E-1o,42460,0.26,0
6959,4,17,1.38,388,180.0,126,proxy_samp,2,E-2o,42473,0.26,0
6951,4,17,1.52,388,188.0,126,proxy_samp,2,T-1o,42495,0.27,0
6986,4,17,1.48,388,191.0,126,proxy_samp,2,T-2o,42463,0.28,0
6975,4,17,1.5,388,80.0,126,proxy_samp,2,Z-1o,42461,0.31,0
6985,4,17,1.52,388,69.0,126,proxy_samp,2,Z-2o,42470,0.31,0
6989,4,17,1.47,388,203.0,126,proxy_samp,2,Z-1c,42466,0.3,0
6984,4,17,1.49,388,205.0,126,proxy_samp,2,Z-2c,42451,0.31,0
6973,4,17,1.53,388,218.0,126,proxy_samp,2,s-1c,42451,0.34,0
6975,4,17,1.59,388,216.0,126,proxy_samp,2,s-2c,42469,0.39,0
