num_of_methods_propagated,expected_leaks,ground_truth,analysis_time,cg_edges,analysis_memory,reachable_methods,app_name,no_of_leaks,cg_name,num_edges_propagated,cg_construction_time,unexpected_leaks
2779983,0,17,45.01,32002,1970,4777,remote_control_smack,0,CHA,6283029,3.99,0
-1,0,17,8.76,1939,244,408,remote_control_smack,0,VTA,-1,6.58,0
19,0,17,14.49,11938,462,2041,remote_control_smack,0,RTA,42,11.85,0
-1,0,17,3.54,1082,132,291,remote_control_smack,0,SPARK,-1,1.53,0
-1,0,17,2.89,731,133,262,remote_control_smack,0,insens,-1,0.76,0
-1,0,17,3.08,728,132,262,remote_control_smack,0,B-2o,-1,0.93,0
-1,0,17,3.03,731,94,262,remote_control_smack,0,D-2o,-1,0.77,0
-1,0,17,3.83,731,140,262,remote_control_smack,0,D-2c,-1,1.3,0
-1,0,17,3.14,729,130,262,remote_control_smack,0,1c,-1,0.84,0
-1,0,17,3.11,728,113,262,remote_control_smack,0,2c,-1,0.95,0
-1,0,17,3.06,728,128,262,remote_control_smack,0,1o,-1,0.79,0
-1,0,17,3.02,728,126,262,remote_control_smack,0,2o,-1,0.89,0
-1,0,17,3.03,728,143,262,remote_control_smack,0,1t,-1,0.73,0
-1,0,17,2.91,728,131,262,remote_control_smack,0,2t,-1,0.74,0
-1,0,17,2.98,728,134,262,remote_control_smack,0,1h,-1,0.76,0
-1,0,17,2.95,728,128,262,remote_control_smack,0,2h,-1,0.85,0
-1,0,17,2.81,731,131,262,remote_control_smack,0,1ht,-1,0.71,0
-1,0,17,3.35,731,124,262,remote_control_smack,0,2ht,-1,1,0
-1,0,17,3.04,728,137,262,remote_control_smack,0,M-1o,-1,0.88,0
-1,0,17,2.23,728,166,262,remote_control_smack,0,M-2o,-1,0.64,0
-1,0,17,2.86,729,100,262,remote_control_smack,0,M-1c,-1,0.92,0
-1,0,17,2.88,728,114,262,remote_control_smack,0,M-2c,-1,0.92,0
-1,0,17,2.81,729,122,262,remote_control_smack,0,E-1o,-1,0.8,0
-1,0,17,2.77,729,121,262,remote_control_smack,0,E-2o,-1,0.81,0
-1,0,17,2.89,728,127,262,remote_control_smack,0,T-1o,-1,0.87,0
-1,0,17,2.92,728,130,262,remote_control_smack,0,T-2o,-1,0.85,0
-1,0,17,2.33,731,127,262,remote_control_smack,0,Z-1o,-1,0.69,0
-1,0,17,2.38,731,124,262,remote_control_smack,0,Z-2o,-1,0.7,0
-1,0,17,2.53,731,133,262,remote_control_smack,0,Z-1c,-1,0.7,0
-1,0,17,2.98,731,124,262,remote_control_smack,0,Z-2c,-1,0.94,0
-1,0,17,2.53,729,165,262,remote_control_smack,0,s-1c,-1,0.91,0
-1,0,17,2.56,728,162,262,remote_control_smack,0,s-2c,-1,0.88,0
