num_of_methods_propagated,expected_leaks,ground_truth,analysis_time,cg_edges,analysis_memory,reachable_methods,app_name,no_of_leaks,cg_name,num_edges_propagated,cg_construction_time,unexpected_leaks
9,0,1,0.99,226,104.0,128,repane,0,CHA,13,0.21,0
-1,0,1,0.98,126,50.0,78,repane,0,VTA,-1,0.25,0
7,0,1,1.05,190,61.0,111,repane,0,RTA,13,0.26,0
-1,0,1,0.94,126,98.0,78,repane,0,SPARK,-1,0.21,0
-1,0,1,1.0,95,98.0,63,repane,0,insens,-1,0.17,0
-1,0,1,1.05,95,54.0,63,repane,0,B-2o,-1,0.25,0
-1,0,1,1.02,95,98.0,63,repane,0,D-2o,-1,0.16,0
-1,0,1,0.92,95,100.0,63,repane,0,D-2c,-1,0.18,0
-1,0,1,0.9,95,98.0,63,repane,0,1c,-1,0.16,0
-1,0,1,0.89,95,99.0,63,repane,0,2c,-1,0.17,0
-1,0,1,0.89,95,98.0,63,repane,0,1o,-1,0.15,0
-1,0,1,0.89,95,98.0,63,repane,0,2o,-1,0.15,0
-1,0,1,0.88,95,99.0,63,repane,0,1t,-1,0.16,0
-1,0,1,0.92,95,99.0,63,repane,0,2t,-1,0.16,0
-1,0,1,0.93,95,98.0,63,repane,0,1h,-1,0.17,0
-1,0,1,1.0,95,99.0,63,repane,0,2h,-1,0.18,0
-1,0,1,0.91,95,97.0,63,repane,0,1ht,-1,0.15,0
-1,0,1,0.89,95,98.0,63,repane,0,2ht,-1,0.15,0
-1,0,1,0.94,95,56.0,63,repane,0,M-1o,-1,0.2,0
-1,0,1,0.94,95,57.0,63,repane,0,M-2o,-1,0.19,0
-1,0,1,0.92,95,59.0,63,repane,0,M-1c,-1,0.19,0
-1,0,1,0.93,95,58.0,63,repane,0,M-2c,-1,0.19,0
-1,0,1,0.95,95,107.0,63,repane,0,E-1o,-1,0.18,0
-1,0,1,0.94,95,50.0,63,repane,0,E-2o,-1,0.18,0
-1,0,1,0.95,95,64.0,63,repane,0,T-1o,-1,0.21,0
-1,0,1,0.95,95,65.0,63,repane,0,T-2o,-1,0.21,0
-1,0,1,0.96,95,64.0,63,repane,0,Z-1o,-1,0.21,0
-1,0,1,0.95,95,63.0,63,repane,0,Z-2o,-1,0.21,0
-1,0,1,0.95,95,62.0,63,repane,0,Z-1c,-1,0.22,0
-1,0,1,0.94,95,64.0,63,repane,0,Z-2c,-1,0.22,0
-1,0,1,0.97,95,64.0,63,repane,0,s-1c,-1,0.22,0
-1,0,1,0.99,95,64.0,63,repane,0,s-2c,-1,0.23,0
