num_of_methods_propagated,expected_leaks,ground_truth,analysis_time,cg_edges,analysis_memory,reachable_methods,app_name,no_of_leaks,cg_name,num_edges_propagated,cg_construction_time,unexpected_leaks
389,0,6,1.22,858,138.0,236,roidsec,0,CHA,660,0.36,0
129,0,6,1.3,601,145.0,181,roidsec,0,VTA,659,0.43,0
291,0,6,1.38,671,153.0,187,roidsec,0,RTA,659,0.52,0
126,0,6,1.35,601,155.0,181,roidsec,0,SPARK,660,0.49,0
-1,0,6,0.88,95,107.0,69,roidsec,0,insens,-1,0.08,0
-1,0,6,0.91,95,63.0,69,roidsec,0,B-2o,-1,0.11,0
-1,0,6,0.89,95,53.0,69,roidsec,0,D-2o,-1,0.08,0
-1,0,6,0.9,95,52.0,69,roidsec,0,D-2c,-1,0.09,0
-1,0,6,0.89,95,52.0,69,roidsec,0,1c,-1,0.08,0
-1,0,6,0.9,95,53.0,69,roidsec,0,2c,-1,0.09,0
-1,0,6,0.88,95,52.0,69,roidsec,0,1o,-1,0.08,0
-1,0,6,0.9,95,52.0,69,roidsec,0,2o,-1,0.08,0
-1,0,6,0.89,95,51.0,69,roidsec,0,1t,-1,0.08,0
-1,0,6,0.87,95,106.0,69,roidsec,0,2t,-1,0.08,0
-1,0,6,0.89,95,52.0,69,roidsec,0,1h,-1,0.09,0
-1,0,6,0.9,95,52.0,69,roidsec,0,2h,-1,0.09,0
-1,0,6,0.89,95,106.0,69,roidsec,0,1ht,-1,0.08,0
-1,0,6,0.88,95,105.0,69,roidsec,0,2ht,-1,0.08,0
-1,0,6,0.93,95,63.0,69,roidsec,0,M-1o,-1,0.12,0
-1,0,6,0.92,95,64.0,69,roidsec,0,M-2o,-1,0.11,0
-1,0,6,0.91,95,63.0,69,roidsec,0,M-1c,-1,0.12,0
-1,0,6,0.91,95,65.0,69,roidsec,0,M-2c,-1,0.12,0
-1,0,6,0.89,95,68.0,69,roidsec,0,E-1o,-1,0.11,0
-1,0,6,0.9,95,62.0,69,roidsec,0,E-2o,-1,0.11,0
-1,0,6,0.95,95,67.0,69,roidsec,0,T-1o,-1,0.12,0
-1,0,6,0.91,95,65.0,69,roidsec,0,T-2o,-1,0.12,0
-1,0,6,0.92,95,71.0,69,roidsec,0,Z-1o,-1,0.13,0
-1,0,6,0.93,95,69.0,69,roidsec,0,Z-2o,-1,0.14,0
-1,0,6,0.93,95,70.0,69,roidsec,0,Z-1c,-1,0.14,0
-1,0,6,0.94,95,71.0,69,roidsec,0,Z-2c,-1,0.14,0
-1,0,6,0.93,95,76.0,69,roidsec,0,s-1c,-1,0.13,0
-1,0,6,0.93,95,72.0,69,roidsec,0,s-2c,-1,0.14,0
