num_of_methods_propagated,expected_leaks,ground_truth,analysis_time,cg_edges,analysis_memory,reachable_methods,app_name,no_of_leaks,cg_name,num_edges_propagated,cg_construction_time,unexpected_leaks
-1,0,4,1.18,55,72,33,samsapo,0,CHA,-1,0.08,0
-1,0,4,1.35,51,77,31,samsapo,0,VTA,-1,0.13,0
-1,0,4,1.51,51,76,31,samsapo,0,RTA,-1,0.17,0
-1,0,4,1.25,51,74,31,samsapo,0,SPARK,-1,0.11,0
-1,0,4,1.31,44,79,30,samsapo,0,insens,-1,0.08,0
-1,0,4,1.24,44,85,30,samsapo,0,B-2o,-1,0.11,0
-1,0,4,1.92,44,79,30,samsapo,0,D-2o,-1,0.16,0
-1,0,4,1.61,44,80,30,samsapo,0,D-2c,-1,0.09,0
-1,0,4,1.21,44,79,30,samsapo,0,1c,-1,0.08,0
-1,0,4,1.22,44,77,30,samsapo,0,2c,-1,0.1,0
-1,0,4,1.27,44,80,30,samsapo,0,1o,-1,0.09,0
-1,0,4,1.25,44,79,30,samsapo,0,2o,-1,0.09,0
-1,0,4,1.28,44,77,30,samsapo,0,1t,-1,0.08,0
-1,0,4,1.19,44,78,30,samsapo,0,2t,-1,0.09,0
-1,0,4,1.29,44,80,30,samsapo,0,1h,-1,0.08,0
-1,0,4,1.3,44,79,30,samsapo,0,2h,-1,0.08,0
-1,0,4,1.22,44,78,30,samsapo,0,1ht,-1,0.08,0
-1,0,4,1.26,44,79,30,samsapo,0,2ht,-1,0.08,0
-1,0,4,1.27,44,88,30,samsapo,0,M-1o,-1,0.11,0
-1,0,4,1.32,44,90,30,samsapo,0,M-2o,-1,0.11,0
-1,0,4,1.27,44,89,30,samsapo,0,M-1c,-1,0.12,0
-1,0,4,1.26,44,89,30,samsapo,0,M-2c,-1,0.12,0
-1,0,4,1.24,44,85,30,samsapo,0,E-1o,-1,0.1,0
-1,0,4,1.24,44,87,30,samsapo,0,E-2o,-1,0.1,0
-1,0,4,1.3,44,87,30,samsapo,0,T-1o,-1,0.11,0
-1,0,4,1.32,44,88,30,samsapo,0,T-2o,-1,0.14,0
-1,0,4,1.3,44,94,30,samsapo,0,Z-1o,-1,0.14,0
-1,0,4,1.31,44,93,30,samsapo,0,Z-2o,-1,0.14,0
-1,0,4,2.19,44,94,30,samsapo,0,Z-1c,-1,0.31,0
-1,0,4,1.59,44,92,30,samsapo,0,Z-2c,-1,0.2,0
-1,0,4,1.25,44,91,30,samsapo,0,s-1c,-1,0.12,0
-1,0,4,1.33,44,90,30,samsapo,0,s-2c,-1,0.15,0
