num_of_methods_propagated,expected_leaks,ground_truth,analysis_time,cg_edges,analysis_memory,reachable_methods,app_name,no_of_leaks,cg_name,num_edges_propagated,cg_construction_time,unexpected_leaks
354554,4,25,11,26507,398,4420,save_me,5,CHA,823838,3.54,0
176268,4,25,12.08,2633,315,748,save_me,5,VTA,737437,5.31,0
206183,4,25,20.5,13076,484,2902,save_me,5,RTA,823326,12.31,0
177048,4,25,9.82,1734,195,468,save_me,5,SPARK,741561,2.45,0
78517,4,25,5.95,665,158,272,save_me,4,insens,309348,0.6,0
77540,4,25,4.99,663,149,271,save_me,4,B-2o,307619,0.69,0
78341,4,25,4.87,665,159,272,save_me,4,D-2o,305544,0.5,0
78648,4,25,4.91,665,128,272,save_me,4,D-2c,309583,0.52,0
77348,4,25,4.23,663,257,271,save_me,4,1c,309904,0.43,0
77984,4,25,4.86,663,146,271,save_me,4,2c,308885,0.53,0
77979,4,25,5.01,663,174,271,save_me,4,1o,309015,0.55,0
77815,4,25,5.68,663,176,271,save_me,4,2o,309311,0.66,0
77749,4,25,4.88,663,160,271,save_me,4,1t,309437,0.58,0
78000,4,25,4.66,663,161,271,save_me,4,2t,310717,0.49,0
77909,4,25,4.91,663,159,271,save_me,4,1h,309848,0.55,0
77906,4,25,4.9,663,253,271,save_me,4,2h,308674,0.51,0
78251,4,25,4.31,665,134,272,save_me,4,1ht,309846,0.45,0
78017,4,25,4.83,665,155,272,save_me,4,2ht,309609,0.42,0
78890,4,25,5.26,665,169,272,save_me,4,M-1o,308974,0.62,0
78090,4,25,4.46,665,179,272,save_me,4,M-2o,309857,0.61,0
78422,4,25,5.05,665,177,272,save_me,4,M-1c,309948,0.71,0
78281,4,25,4.57,665,215,272,save_me,4,M-2c,310409,0.58,0
78089,4,25,5.17,668,170,272,save_me,4,E-1o,309205,0.7,0
77703,4,25,4.54,668,258,272,save_me,4,E-2o,310173,0.54,0
77959,4,25,5.76,663,244,271,save_me,4,T-1o,310302,0.95,0
77601,4,25,4.53,663,199,271,save_me,4,T-2o,310695,0.57,0
78629,4,25,5.71,665,264,272,save_me,4,Z-1o,310430,0.81,0
78719,4,25,5.21,665,214,272,save_me,4,Z-2o,308712,0.79,0
78308,4,25,4.53,665,135,272,save_me,4,Z-1c,309865,0.65,0
78181,4,25,4.51,665,135,272,save_me,4,Z-2c,309972,0.65,0
77651,4,25,6.71,663,326,271,save_me,4,s-1c,308459,1.44,0
77404,4,25,5.33,663,293,271,save_me,4,s-2c,309414,1.3,0
