num_of_methods_propagated,expected_leaks,ground_truth,analysis_time,cg_edges,analysis_memory,reachable_methods,app_name,no_of_leaks,cg_name,num_edges_propagated,cg_construction_time,unexpected_leaks
2777,0,3,3.38,3516,140,773,scipiex,0,CHA,13371,1.49,0
885,0,3,3.8,2604,134,593,scipiex,0,VTA,3559,1.87,0
2812,0,3,4.06,3094,82,633,scipiex,0,RTA,14654,2.37,0
886,0,3,3.5,2009,130,529,scipiex,0,SPARK,3557,2.08,0
-1,0,3,1.23,45,74,38,scipiex,0,insens,-1,0.09,0
-1,0,3,1.36,45,86,38,scipiex,0,B-2o,-1,0.14,0
-1,0,3,1.21,45,74,38,scipiex,0,D-2o,-1,0.09,0
-1,0,3,1.56,45,76,38,scipiex,0,D-2c,-1,0.11,0
-1,0,3,1.82,45,82,38,scipiex,0,1c,-1,0.09,0
-1,0,3,1.45,45,78,38,scipiex,0,2c,-1,0.11,0
-1,0,3,1.21,45,76,38,scipiex,0,1o,-1,0.09,0
-1,0,3,1.24,45,75,38,scipiex,0,2o,-1,0.08,0
-1,0,3,1.52,45,75,38,scipiex,0,1t,-1,0.09,0
-1,0,3,1.2,45,75,38,scipiex,0,2t,-1,0.09,0
-1,0,3,1.21,45,74,38,scipiex,0,1h,-1,0.08,0
-1,0,3,1.21,45,75,38,scipiex,0,2h,-1,0.09,0
-1,0,3,1.18,45,73,38,scipiex,0,1ht,-1,0.09,0
-1,0,3,1.24,45,77,38,scipiex,0,2ht,-1,0.09,0
-1,0,3,1.23,45,89,38,scipiex,0,M-1o,-1,0.13,0
-1,0,3,1.25,45,91,38,scipiex,0,M-2o,-1,0.13,0
-1,0,3,1.25,45,89,38,scipiex,0,M-1c,-1,0.13,0
-1,0,3,1.26,45,89,38,scipiex,0,M-2c,-1,0.14,0
-1,0,3,1.23,45,86,38,scipiex,0,E-1o,-1,0.12,0
-1,0,3,1.23,45,87,38,scipiex,0,E-2o,-1,0.12,0
-1,0,3,1.28,45,90,38,scipiex,0,T-1o,-1,0.13,0
-1,0,3,1.26,45,89,38,scipiex,0,T-2o,-1,0.13,0
-1,0,3,1.29,45,97,38,scipiex,0,Z-1o,-1,0.16,0
-1,0,3,1.31,45,95,38,scipiex,0,Z-2o,-1,0.16,0
-1,0,3,1.26,45,95,38,scipiex,0,Z-1c,-1,0.16,0
-1,0,3,1.51,45,95,38,scipiex,0,Z-2c,-1,0.17,0
-1,0,3,1.75,45,96,38,scipiex,0,s-1c,-1,0.15,0
-1,0,3,1.41,45,92,38,scipiex,0,s-2c,-1,0.15,0
