num_of_methods_propagated,expected_leaks,ground_truth,analysis_time,cg_edges,analysis_memory,reachable_methods,app_name,no_of_leaks,cg_name,num_edges_propagated,cg_construction_time,unexpected_leaks
-1,0,5,1.16,32,70,23,slocker_android_samp,0,CHA,-1,0.05,0
-1,0,5,1.2,32,75,23,slocker_android_samp,0,VTA,-1,0.1,0
-1,0,5,1.17,32,76,23,slocker_android_samp,0,RTA,-1,0.1,0
-1,0,5,1.23,32,73,23,slocker_android_samp,0,SPARK,-1,0.09,0
-1,0,5,1.17,26,79,23,slocker_android_samp,0,insens,-1,0.05,0
-1,0,5,1.19,26,85,23,slocker_android_samp,0,B-2o,-1,0.06,0
-1,0,5,1.27,26,78,23,slocker_android_samp,0,D-2o,-1,0.05,0
-1,0,5,1.18,26,78,23,slocker_android_samp,0,D-2c,-1,0.05,0
-1,0,5,1.19,26,78,23,slocker_android_samp,0,1c,-1,0.05,0
-1,0,5,1.14,26,76,23,slocker_android_samp,0,2c,-1,0.05,0
-1,0,5,1.17,26,77,23,slocker_android_samp,0,1o,-1,0.05,0
-1,0,5,1.16,26,77,23,slocker_android_samp,0,2o,-1,0.05,0
-1,0,5,1.19,26,77,23,slocker_android_samp,0,1t,-1,0.05,0
-1,0,5,1.16,26,77,23,slocker_android_samp,0,2t,-1,0.05,0
-1,0,5,1.19,26,77,23,slocker_android_samp,0,1h,-1,0.05,0
-1,0,5,1.19,26,77,23,slocker_android_samp,0,2h,-1,0.05,0
-1,0,5,1.27,26,78,23,slocker_android_samp,0,1ht,-1,0.06,0
-1,0,5,1.19,26,77,23,slocker_android_samp,0,2ht,-1,0.05,0
-1,0,5,1.23,26,86,23,slocker_android_samp,0,M-1o,-1,0.08,0
-1,0,5,1.99,26,88,23,slocker_android_samp,0,M-2o,-1,0.1,0
-1,0,5,1.5,26,87,23,slocker_android_samp,0,M-1c,-1,0.14,0
-1,0,5,1.19,26,86,23,slocker_android_samp,0,M-2c,-1,0.07,0
-1,0,5,1.2,26,85,23,slocker_android_samp,0,E-1o,-1,0.06,0
-1,0,5,1.21,26,84,23,slocker_android_samp,0,E-2o,-1,0.06,0
-1,0,5,1.27,26,87,23,slocker_android_samp,0,T-1o,-1,0.07,0
-1,0,5,1.22,26,87,23,slocker_android_samp,0,T-2o,-1,0.07,0
-1,0,5,1.27,26,91,23,slocker_android_samp,0,Z-1o,-1,0.1,0
-1,0,5,1.27,26,91,23,slocker_android_samp,0,Z-2o,-1,0.1,0
-1,0,5,1.26,26,90,23,slocker_android_samp,0,Z-1c,-1,0.09,0
-1,0,5,1.24,26,90,23,slocker_android_samp,0,Z-2c,-1,0.09,0
-1,0,5,1.24,26,87,23,slocker_android_samp,0,s-1c,-1,0.08,0
-1,0,5,1.26,26,87,23,slocker_android_samp,0,s-2c,-1,0.08,0
