num_of_methods_propagated,expected_leaks,ground_truth,analysis_time,cg_edges,analysis_memory,reachable_methods,app_name,no_of_leaks,cg_name,num_edges_propagated,cg_construction_time,unexpected_leaks
220,0,4,1.46,724,79,267,sms_google,0,CHA,542,0.34,0
97,0,4,1.59,451,83,196,sms_google,0,VTA,192,0.42,0
212,0,4,1.59,611,97,229,sms_google,0,RTA,540,0.48,0
96,0,4,1.52,448,71,195,sms_google,0,SPARK,192,0.35,0
90,0,4,1.37,240,63,124,sms_google,0,insens,192,0.22,0
91,0,4,1.43,240,79,124,sms_google,0,B-2o,192,0.27,0
90,0,4,1.36,240,59,124,sms_google,0,D-2o,192,0.23,0
90,0,4,1.43,240,65,124,sms_google,0,D-2c,192,0.25,0
91,0,4,1.43,240,66,124,sms_google,0,1c,192,0.24,0
87,0,4,1.51,240,74,124,sms_google,0,2c,192,0.29,0
90,0,4,1.47,240,68,124,sms_google,0,1o,192,0.24,0
89,0,4,1.46,240,64,124,sms_google,0,2o,192,0.23,0
91,0,4,1.72,240,69,124,sms_google,0,1t,191,0.27,0
90,0,4,1.75,240,70,124,sms_google,0,2t,192,0.31,0
89,0,4,2.3,240,69,124,sms_google,0,1h,192,0.3,0
91,0,4,1.43,240,63,124,sms_google,0,2h,192,0.23,0
90,0,4,1.4,240,64,124,sms_google,0,1ht,192,0.23,0
88,0,4,1.41,240,63,124,sms_google,0,2ht,192,0.22,0
89,0,4,1.51,240,78,124,sms_google,0,M-1o,192,0.28,0
91,0,4,1.49,240,78,124,sms_google,0,M-2o,192,0.27,0
90,0,4,1.46,240,81,124,sms_google,0,M-1c,192,0.28,0
91,0,4,1.5,240,84,124,sms_google,0,M-2c,192,0.29,0
90,0,4,1.5,240,77,124,sms_google,0,E-1o,192,0.28,0
90,0,4,1.43,240,77,124,sms_google,0,E-2o,192,0.25,0
90,0,4,1.49,240,82,124,sms_google,0,T-1o,192,0.27,0
89,0,4,1.46,240,82,124,sms_google,0,T-2o,192,0.28,0
86,0,4,1.61,240,88,124,sms_google,0,Z-1o,192,0.32,0
90,0,4,1.56,240,83,124,sms_google,0,Z-2o,191,0.35,0
90,0,4,1.54,240,86,124,sms_google,0,Z-1c,192,0.33,0
87,0,4,1.55,240,88,124,sms_google,0,Z-2c,192,0.32,0
90,0,4,1.62,240,100,124,sms_google,0,s-1c,192,0.37,0
89,0,4,1.55,240,102,124,sms_google,0,s-2c,192,0.37,0
