num_of_methods_propagated,expected_leaks,ground_truth,analysis_time,cg_edges,analysis_memory,reachable_methods,app_name,no_of_leaks,cg_name,num_edges_propagated,cg_construction_time,unexpected_leaks
693,5,6,1.12,400,81.0,149,sms_send_locker_qqmagic,2,CHA,1466,0.18,1
536,5,6,1.17,300,90.0,126,sms_send_locker_qqmagic,2,VTA,1465,0.24,1
549,5,6,1.17,323,91.0,130,sms_send_locker_qqmagic,2,RTA,1466,0.26,1
533,5,6,1.18,298,89.0,126,sms_send_locker_qqmagic,2,SPARK,1466,0.27,1
533,5,6,1.09,242,84.0,112,sms_send_locker_qqmagic,2,insens,1465,0.17,1
529,5,6,1.16,242,103.0,112,sms_send_locker_qqmagic,2,B-2o,1465,0.22,1
534,5,6,1.16,242,93.0,112,sms_send_locker_qqmagic,2,D-2o,1466,0.18,1
531,5,6,1.14,242,93.0,112,sms_send_locker_qqmagic,2,D-2c,1464,0.21,1
536,5,6,1.11,242,97.0,112,sms_send_locker_qqmagic,2,1c,1462,0.19,1
535,5,6,1.15,242,97.0,112,sms_send_locker_qqmagic,2,2c,1465,0.24,1
534,5,6,1.11,242,88.0,112,sms_send_locker_qqmagic,2,1o,1465,0.18,1
537,5,6,1.06,242,86.0,112,sms_send_locker_qqmagic,2,2o,1466,0.18,1
537,5,6,1.11,242,88.0,112,sms_send_locker_qqmagic,2,1t,1466,0.18,1
533,5,6,1.11,242,89.0,112,sms_send_locker_qqmagic,2,2t,1466,0.18,1
539,5,6,1.15,242,89.0,112,sms_send_locker_qqmagic,2,1h,1466,0.19,1
536,5,6,1.1,242,86.0,112,sms_send_locker_qqmagic,2,2h,1465,0.18,1
531,5,6,1.09,242,91.0,112,sms_send_locker_qqmagic,2,1ht,1464,0.18,1
527,5,6,1.1,242,89.0,112,sms_send_locker_qqmagic,2,2ht,1464,0.18,1
530,5,6,1.12,242,96.0,112,sms_send_locker_qqmagic,2,M-1o,1465,0.22,1
529,5,6,1.19,242,100.0,112,sms_send_locker_qqmagic,2,M-2o,1466,0.22,1
531,5,6,1.18,242,104.0,112,sms_send_locker_qqmagic,2,M-1c,1464,0.24,1
532,5,6,1.22,242,122.0,112,sms_send_locker_qqmagic,2,M-2c,1466,0.27,1
538,5,6,1.14,242,100.0,112,sms_send_locker_qqmagic,2,E-1o,1466,0.22,1
539,5,6,1.16,242,107.0,112,sms_send_locker_qqmagic,2,E-2o,1465,0.22,1
526,5,6,1.14,242,113.0,112,sms_send_locker_qqmagic,2,T-1o,1466,0.21,1
533,5,6,1.14,242,115.0,112,sms_send_locker_qqmagic,2,T-2o,1464,0.22,1
538,5,6,1.15,242,121.0,112,sms_send_locker_qqmagic,2,Z-1o,1464,0.25,1
535,5,6,1.13,242,117.0,112,sms_send_locker_qqmagic,2,Z-2o,1466,0.24,1
522,5,6,1.15,242,110.0,112,sms_send_locker_qqmagic,2,Z-1c,1464,0.24,1
531,5,6,1.16,242,126.0,112,sms_send_locker_qqmagic,2,Z-2c,1463,0.25,1
530,5,6,1.17,242,132.0,112,sms_send_locker_qqmagic,2,s-1c,1465,0.27,1
538,5,6,1.23,242,135.0,112,sms_send_locker_qqmagic,2,s-2c,1466,0.31,1
