num_of_methods_propagated,expected_leaks,ground_truth,analysis_time,cg_edges,analysis_memory,reachable_methods,app_name,no_of_leaks,cg_name,num_edges_propagated,cg_construction_time,unexpected_leaks
10757,1,5,2.13,2194,167.0,450,smssend_packageInstaller,1,CHA,53519,0.65,0
4703,1,5,2.12,1728,92.0,399,smssend_packageInstaller,1,VTA,27121,0.76,0
9746,1,5,2.37,1946,141.0,408,smssend_packageInstaller,1,RTA,54396,0.95,0
4688,1,5,2.44,1646,107.0,393,smssend_packageInstaller,1,SPARK,27428,1.13,0
3677,1,5,1.61,619,143.0,228,smssend_packageInstaller,1,insens,20926,0.39,0
3669,1,5,1.71,619,216.0,228,smssend_packageInstaller,1,B-2o,21061,0.5,0
3685,1,5,1.62,619,154.0,228,smssend_packageInstaller,1,D-2o,20909,0.41,0
3682,1,5,1.67,619,163.0,228,smssend_packageInstaller,1,D-2c,20880,0.45,0
3624,1,5,1.63,619,159.0,228,smssend_packageInstaller,1,1c,20839,0.41,0
3664,1,5,1.71,619,180.0,228,smssend_packageInstaller,1,2c,20816,0.5,0
3688,1,5,1.66,619,155.0,228,smssend_packageInstaller,1,1o,21028,0.45,0
3697,1,5,1.82,619,125.0,228,smssend_packageInstaller,1,2o,20876,0.42,0
3671,1,5,1.84,619,145.0,228,smssend_packageInstaller,1,1t,20946,0.47,0
3696,1,5,1.69,619,154.0,228,smssend_packageInstaller,1,2t,20956,0.47,0
3690,1,5,1.76,619,152.0,228,smssend_packageInstaller,1,1h,20953,0.47,0
3661,1,5,1.64,619,151.0,228,smssend_packageInstaller,1,2h,20957,0.41,0
3678,1,5,1.67,619,145.0,228,smssend_packageInstaller,1,1ht,20954,0.42,0
3698,1,5,1.84,619,146.0,228,smssend_packageInstaller,1,2ht,21076,0.55,0
3670,1,5,1.81,619,177.0,228,smssend_packageInstaller,1,M-1o,20796,0.49,0
3695,1,5,1.88,619,180.0,228,smssend_packageInstaller,1,M-2o,21000,0.59,0
3671,1,5,1.99,619,217.0,228,smssend_packageInstaller,1,M-1c,20873,0.64,0
3671,1,5,1.8,619,78.0,228,smssend_packageInstaller,1,M-2c,21012,0.55,0
3728,1,5,1.71,632,186.0,228,smssend_packageInstaller,1,E-1o,20798,0.47,0
3729,1,5,1.72,632,205.0,228,smssend_packageInstaller,1,E-2o,21053,0.47,0
3701,1,5,1.72,619,102.0,228,smssend_packageInstaller,1,T-1o,21284,0.48,0
3690,1,5,1.76,619,90.0,228,smssend_packageInstaller,1,T-2o,20940,0.49,0
3655,1,5,1.72,619,102.0,228,smssend_packageInstaller,1,Z-1o,20875,0.52,0
3640,1,5,1.73,619,95.0,228,smssend_packageInstaller,1,Z-2o,20905,0.5,0
3686,1,5,1.74,619,111.0,228,smssend_packageInstaller,1,Z-1c,20988,0.51,0
3677,1,5,1.77,619,103.0,228,smssend_packageInstaller,1,Z-2c,20826,0.51,0
3680,1,5,1.85,619,242.0,228,smssend_packageInstaller,1,s-1c,21130,0.62,0
3692,1,5,1.91,619,244.0,228,smssend_packageInstaller,1,s-2c,21172,0.69,0
