num_of_methods_propagated,expected_leaks,ground_truth,analysis_time,cg_edges,analysis_memory,reachable_methods,app_name,no_of_leaks,cg_name,num_edges_propagated,cg_construction_time,unexpected_leaks
427,0,2,1.26,152,69,68,smssilience_fake_vertu,0,CHA,789,0.11,0
241,0,2,1.29,102,74,53,smssilience_fake_vertu,0,VTA,790,0.16,0
350,0,2,1.32,131,75,59,smssilience_fake_vertu,0,RTA,790,0.18,0
236,0,2,1.27,102,71,53,smssilience_fake_vertu,0,SPARK,790,0.16,0
223,0,2,1.24,93,79,51,smssilience_fake_vertu,0,insens,790,0.11,0
220,0,2,1.99,93,72,51,smssilience_fake_vertu,0,B-2o,790,0.25,0
221,0,2,1.52,93,83,51,smssilience_fake_vertu,0,D-2o,789,0.1,0
222,0,2,1.31,93,80,51,smssilience_fake_vertu,0,D-2c,790,0.12,0
222,0,2,1.34,93,82,51,smssilience_fake_vertu,0,1c,790,0.12,0
217,0,2,1.29,93,82,51,smssilience_fake_vertu,0,2c,790,0.13,0
223,0,2,1.33,93,80,51,smssilience_fake_vertu,0,1o,790,0.11,0
219,0,2,1.24,93,80,51,smssilience_fake_vertu,0,2o,790,0.11,0
222,0,2,1.26,93,80,51,smssilience_fake_vertu,0,1t,790,0.11,0
222,0,2,1.29,93,80,51,smssilience_fake_vertu,0,2t,790,0.12,0
223,0,2,1.31,93,81,51,smssilience_fake_vertu,0,1h,790,0.12,0
223,0,2,1.29,93,79,51,smssilience_fake_vertu,0,2h,790,0.11,0
222,0,2,1.27,93,79,51,smssilience_fake_vertu,0,1ht,790,0.11,0
221,0,2,1.27,93,81,51,smssilience_fake_vertu,0,2ht,790,0.12,0
222,0,2,1.32,93,93,51,smssilience_fake_vertu,0,M-1o,790,0.16,0
220,0,2,1.33,93,71,51,smssilience_fake_vertu,0,M-2o,790,0.16,0
221,0,2,1.4,93,94,51,smssilience_fake_vertu,0,M-1c,788,0.16,0
218,0,2,1.38,93,97,51,smssilience_fake_vertu,0,M-2c,789,0.17,0
222,0,2,1.31,93,92,51,smssilience_fake_vertu,0,E-1o,790,0.15,0
221,0,2,1.4,93,92,51,smssilience_fake_vertu,0,E-2o,790,0.14,0
222,0,2,1.33,93,95,51,smssilience_fake_vertu,0,T-1o,790,0.14,0
219,0,2,1.56,93,77,51,smssilience_fake_vertu,0,T-2o,790,0.15,0
223,0,2,1.87,93,72,51,smssilience_fake_vertu,0,Z-1o,790,0.18,0
221,0,2,1.43,93,71,51,smssilience_fake_vertu,0,Z-2o,790,0.18,0
222,0,2,1.37,93,72,51,smssilience_fake_vertu,0,Z-1c,788,0.18,0
219,0,2,1.43,93,72,51,smssilience_fake_vertu,0,Z-2c,790,0.19,0
221,0,2,1.41,93,80,51,smssilience_fake_vertu,0,s-1c,789,0.19,0
220,0,2,1.39,93,77,51,smssilience_fake_vertu,0,s-2c,790,0.19,0
