num_of_methods_propagated,expected_leaks,ground_truth,analysis_time,cg_edges,analysis_memory,reachable_methods,app_name,no_of_leaks,cg_name,num_edges_propagated,cg_construction_time,unexpected_leaks
6477,0,5,1.43,490,188.0,226,smsstealer_kysn_assassincreed_android_samp,0,CHA,28261,0.17,0
5340,0,5,1.49,388,79.0,164,smsstealer_kysn_assassincreed_android_samp,0,VTA,28236,0.25,0
5574,0,5,1.61,417,84.0,172,smsstealer_kysn_assassincreed_android_samp,0,RTA,28241,0.27,0
5340,0,5,1.6,388,89.0,164,smsstealer_kysn_assassincreed_android_samp,0,SPARK,28222,0.37,0
-1,0,5,1.18,278,140.0,129,smsstealer_kysn_assassincreed_android_samp,0,insens,-1,0.16,0
-1,0,5,1.23,278,164.0,129,smsstealer_kysn_assassincreed_android_samp,0,B-2o,-1,0.22,0
-1,0,5,1.19,278,140.0,129,smsstealer_kysn_assassincreed_android_samp,0,D-2o,-1,0.16,0
-1,0,5,1.2,278,147.0,129,smsstealer_kysn_assassincreed_android_samp,0,D-2c,-1,0.17,0
-1,0,5,1.22,278,147.0,129,smsstealer_kysn_assassincreed_android_samp,0,1c,-1,0.18,0
-1,0,5,1.22,278,152.0,129,smsstealer_kysn_assassincreed_android_samp,0,2c,-1,0.19,0
-1,0,5,1.21,278,148.0,129,smsstealer_kysn_assassincreed_android_samp,0,1o,-1,0.17,0
-1,0,5,1.23,278,149.0,129,smsstealer_kysn_assassincreed_android_samp,0,2o,-1,0.17,0
-1,0,5,1.16,278,146.0,129,smsstealer_kysn_assassincreed_android_samp,0,1t,-1,0.17,0
-1,0,5,1.25,278,145.0,129,smsstealer_kysn_assassincreed_android_samp,0,2t,-1,0.17,0
-1,0,5,1.19,278,144.0,129,smsstealer_kysn_assassincreed_android_samp,0,1h,-1,0.18,0
-1,0,5,1.22,278,144.0,129,smsstealer_kysn_assassincreed_android_samp,0,2h,-1,0.17,0
-1,0,5,1.17,278,70.0,129,smsstealer_kysn_assassincreed_android_samp,0,1ht,-1,0.15,0
-1,0,5,1.2,278,142.0,129,smsstealer_kysn_assassincreed_android_samp,0,2ht,-1,0.16,0
-1,0,5,1.31,278,160.0,129,smsstealer_kysn_assassincreed_android_samp,0,M-1o,-1,0.26,0
-1,0,5,1.24,278,153.0,129,smsstealer_kysn_assassincreed_android_samp,0,M-2o,-1,0.21,0
-1,0,5,1.24,278,167.0,129,smsstealer_kysn_assassincreed_android_samp,0,M-1c,-1,0.22,0
-1,0,5,1.25,278,93.0,129,smsstealer_kysn_assassincreed_android_samp,0,M-2c,-1,0.23,0
-1,0,5,1.23,278,159.0,129,smsstealer_kysn_assassincreed_android_samp,0,E-1o,-1,0.2,0
-1,0,5,1.25,278,161.0,129,smsstealer_kysn_assassincreed_android_samp,0,E-2o,-1,0.2,0
-1,0,5,1.22,278,158.0,129,smsstealer_kysn_assassincreed_android_samp,0,T-1o,-1,0.21,0
-1,0,5,1.24,278,92.0,129,smsstealer_kysn_assassincreed_android_samp,0,T-2o,-1,0.22,0
-1,0,5,1.26,278,183.0,129,smsstealer_kysn_assassincreed_android_samp,0,Z-1o,-1,0.24,0
-1,0,5,1.25,278,178.0,129,smsstealer_kysn_assassincreed_android_samp,0,Z-2o,-1,0.24,0
-1,0,5,1.26,278,180.0,129,smsstealer_kysn_assassincreed_android_samp,0,Z-1c,-1,0.25,0
-1,0,5,1.26,278,177.0,129,smsstealer_kysn_assassincreed_android_samp,0,Z-2c,-1,0.24,0
-1,0,5,1.3,278,185.0,129,smsstealer_kysn_assassincreed_android_samp,0,s-1c,-1,0.28,0
-1,0,5,1.32,278,186.0,129,smsstealer_kysn_assassincreed_android_samp,0,s-2c,-1,0.29,0
