num_of_methods_propagated,expected_leaks,ground_truth,analysis_time,cg_edges,analysis_memory,reachable_methods,app_name,no_of_leaks,cg_name,num_edges_propagated,cg_construction_time,unexpected_leaks
924,1,3,1.53,946,215.0,288,stels_flashplayer_android_update,1,CHA,3138,0.43,0
766,1,3,1.61,755,145.0,246,stels_flashplayer_android_update,1,VTA,3156,0.53,0
818,1,3,1.7,852,161.0,256,stels_flashplayer_android_update,1,RTA,3149,0.6,0
763,1,3,1.82,725,171.0,238,stels_flashplayer_android_update,1,SPARK,3217,0.74,0
-1,0,3,1.25,284,67.0,141,stels_flashplayer_android_update,0,insens,-1,0.3,0
-1,0,3,1.34,284,90.0,141,stels_flashplayer_android_update,0,B-2o,-1,0.38,0
-1,0,3,1.26,284,68.0,141,stels_flashplayer_android_update,0,D-2o,-1,0.31,0
-1,0,3,1.3,284,73.0,141,stels_flashplayer_android_update,0,D-2c,-1,0.35,0
-1,0,3,1.33,284,70.0,141,stels_flashplayer_android_update,0,1c,-1,0.32,0
-1,0,3,1.34,284,85.0,141,stels_flashplayer_android_update,0,2c,-1,0.37,0
-1,0,3,1.29,284,72.0,141,stels_flashplayer_android_update,0,1o,-1,0.32,0
-1,0,3,1.29,284,78.0,141,stels_flashplayer_android_update,0,2o,-1,0.34,0
-1,0,3,1.27,284,69.0,141,stels_flashplayer_android_update,0,1t,-1,0.32,0
-1,0,3,1.35,284,71.0,141,stels_flashplayer_android_update,0,2t,-1,0.32,0
-1,0,3,1.28,284,153.0,141,stels_flashplayer_android_update,0,1h,-1,0.32,0
-1,0,3,1.29,284,74.0,141,stels_flashplayer_android_update,0,2h,-1,0.33,0
-1,0,3,1.26,284,149.0,141,stels_flashplayer_android_update,0,1ht,-1,0.31,0
-1,0,3,1.27,284,67.0,141,stels_flashplayer_android_update,0,2ht,-1,0.31,0
-1,0,3,1.33,284,87.0,141,stels_flashplayer_android_update,0,M-1o,-1,0.36,0
-1,0,3,1.31,284,86.0,141,stels_flashplayer_android_update,0,M-2o,-1,0.36,0
-1,0,3,1.33,284,91.0,141,stels_flashplayer_android_update,0,M-1c,-1,0.37,0
-1,0,3,1.37,284,95.0,141,stels_flashplayer_android_update,0,M-2c,-1,0.41,0
-1,0,3,1.32,292,83.0,141,stels_flashplayer_android_update,0,E-1o,-1,0.36,0
-1,0,3,1.33,292,170.0,141,stels_flashplayer_android_update,0,E-2o,-1,0.36,0
-1,0,3,1.32,284,96.0,141,stels_flashplayer_android_update,0,T-1o,-1,0.37,0
-1,0,3,1.3,284,100.0,141,stels_flashplayer_android_update,0,T-2o,-1,0.36,0
-1,0,3,1.36,284,99.0,141,stels_flashplayer_android_update,0,Z-1o,-1,0.4,0
-1,0,3,1.36,284,102.0,141,stels_flashplayer_android_update,0,Z-2o,-1,0.4,0
-1,0,3,1.36,284,98.0,141,stels_flashplayer_android_update,0,Z-1c,-1,0.4,0
-1,0,3,1.36,284,100.0,141,stels_flashplayer_android_update,0,Z-2c,-1,0.39,0
-1,0,3,1.4,284,113.0,141,stels_flashplayer_android_update,0,s-1c,-1,0.44,0
-1,0,3,1.42,284,129.0,141,stels_flashplayer_android_update,0,s-2c,-1,0.46,0
