num_of_methods_propagated,expected_leaks,ground_truth,analysis_time,cg_edges,analysis_memory,reachable_methods,app_name,no_of_leaks,cg_name,num_edges_propagated,cg_construction_time,unexpected_leaks
12856,2,2,1.7,957,217.0,312,tetus,2,CHA,38388,0.36,0
8185,2,2,1.62,575,219.0,191,tetus,2,VTA,30144,0.48,0
8193,2,2,1.67,591,83.0,195,tetus,2,RTA,30141,0.51,0
8143,2,2,1.6,575,202.0,191,tetus,1,SPARK,30012,0.44,0
-1,0,2,1.09,363,108.0,149,tetus,0,insens,-1,0.24,0
-1,0,2,1.17,363,126.0,149,tetus,0,B-2o,-1,0.3,0
-1,0,2,1.12,363,109.0,149,tetus,0,D-2o,-1,0.24,0
-1,0,2,1.12,363,118.0,149,tetus,0,D-2c,-1,0.26,0
-1,0,2,1.09,363,118.0,149,tetus,0,1c,-1,0.25,0
-1,0,2,1.14,363,121.0,149,tetus,0,2c,-1,0.29,0
-1,0,2,1.1,363,105.0,149,tetus,0,1o,-1,0.25,0
-1,0,2,1.13,363,111.0,149,tetus,0,2o,-1,0.25,0
-1,0,2,1.12,363,108.0,149,tetus,0,1t,-1,0.24,0
-1,0,2,1.13,363,108.0,149,tetus,0,2t,-1,0.24,0
-1,0,2,1.13,363,109.0,149,tetus,0,1h,-1,0.26,0
-1,0,2,1.14,363,111.0,149,tetus,0,2h,-1,0.29,0
-1,0,2,1.1,363,109.0,149,tetus,0,1ht,-1,0.24,0
-1,0,2,1.09,363,112.0,149,tetus,0,2ht,-1,0.23,0
-1,0,2,1.16,363,142.0,149,tetus,0,M-1o,-1,0.3,0
-1,0,2,1.2,363,128.0,149,tetus,0,M-2o,-1,0.3,0
-1,0,2,1.16,363,136.0,149,tetus,0,M-1c,-1,0.31,0
-1,0,2,1.2,363,153.0,149,tetus,0,M-2c,-1,0.35,0
-1,0,2,1.16,365,124.0,150,tetus,0,E-1o,-1,0.3,0
-1,0,2,1.11,365,129.0,150,tetus,0,E-2o,-1,0.28,0
-1,0,2,1.13,363,139.0,149,tetus,0,T-1o,-1,0.28,0
-1,0,2,1.16,363,136.0,149,tetus,0,T-2o,-1,0.3,0
-1,0,2,1.18,363,162.0,149,tetus,0,Z-1o,-1,0.33,0
-1,0,2,1.18,363,168.0,149,tetus,0,Z-2o,-1,0.33,0
-1,0,2,1.18,363,152.0,149,tetus,0,Z-1c,-1,0.33,0
-1,0,2,1.2,363,152.0,149,tetus,0,Z-2c,-1,0.33,0
-1,0,2,1.26,363,177.0,149,tetus,0,s-1c,-1,0.4,0
-1,0,2,1.28,363,187.0,149,tetus,0,s-2c,-1,0.42,0
