num_of_methods_propagated,expected_leaks,ground_truth,analysis_time,cg_edges,analysis_memory,reachable_methods,app_name,no_of_leaks,cg_name,num_edges_propagated,cg_construction_time,unexpected_leaks
165,0,1,1.29,172,65,99,the_interview_movieshow,0,CHA,387,0.2,0
145,0,1,1.28,163,70,94,the_interview_movieshow,0,VTA,388,0.25,0
154,0,1,1.37,166,70,95,the_interview_movieshow,0,RTA,389,0.26,0
148,0,1,1.31,163,69,94,the_interview_movieshow,0,SPARK,389,0.25,0
-1,0,1,1.15,87,72,56,the_interview_movieshow,0,insens,-1,0.13,0
-1,0,1,1.21,87,83,56,the_interview_movieshow,0,B-2o,-1,0.17,0
-1,0,1,1.14,87,69,56,the_interview_movieshow,0,D-2o,-1,0.14,0
-1,0,1,1.17,87,75,56,the_interview_movieshow,0,D-2c,-1,0.16,0
-1,0,1,1.16,87,71,56,the_interview_movieshow,0,1c,-1,0.14,0
-1,0,1,1.13,87,70,56,the_interview_movieshow,0,2c,-1,0.16,0
-1,0,1,1.15,87,72,56,the_interview_movieshow,0,1o,-1,0.13,0
-1,0,1,1.2,87,75,56,the_interview_movieshow,0,2o,-1,0.14,0
-1,0,1,1.14,87,70,56,the_interview_movieshow,0,1t,-1,0.13,0
-1,0,1,1.14,87,69,56,the_interview_movieshow,0,2t,-1,0.13,0
-1,0,1,2,87,89,56,the_interview_movieshow,0,1h,-1,0.26,0
-1,0,1,1.38,87,84,56,the_interview_movieshow,0,2h,-1,0.21,0
-1,0,1,1.37,87,89,56,the_interview_movieshow,0,1ht,-1,0.19,0
-1,0,1,1.06,87,70,56,the_interview_movieshow,0,2ht,-1,0.13,0
-1,0,1,1.66,87,70,56,the_interview_movieshow,0,M-1o,-1,0.19,0
-1,0,1,1.18,87,87,56,the_interview_movieshow,0,M-2o,-1,0.18,0
-1,0,1,1.2,87,88,56,the_interview_movieshow,0,M-1c,-1,0.19,0
-1,0,1,1.14,87,89,56,the_interview_movieshow,0,M-2c,-1,0.2,0
-1,0,1,1.17,87,84,56,the_interview_movieshow,0,E-1o,-1,0.15,0
-1,0,1,1.16,87,85,56,the_interview_movieshow,0,E-2o,-1,0.16,0
-1,0,1,1.2,87,84,56,the_interview_movieshow,0,T-1o,-1,0.17,0
-1,0,1,1.21,87,89,56,the_interview_movieshow,0,T-2o,-1,0.18,0
-1,0,1,1.16,87,91,56,the_interview_movieshow,0,Z-1o,-1,0.21,0
-1,0,1,1.22,87,91,56,the_interview_movieshow,0,Z-2o,-1,0.2,0
-1,0,1,1.22,87,91,56,the_interview_movieshow,0,Z-1c,-1,0.21,0
-1,0,1,1.21,87,87,56,the_interview_movieshow,0,Z-2c,-1,0.2,0
-1,0,1,1.2,87,86,56,the_interview_movieshow,0,s-1c,-1,0.19,0
-1,0,1,1.16,87,91,56,the_interview_movieshow,0,s-2c,-1,0.2,0
