num_of_methods_propagated,expected_leaks,ground_truth,analysis_time,cg_edges,analysis_memory,reachable_methods,app_name,no_of_leaks,cg_name,num_edges_propagated,cg_construction_time,unexpected_leaks
103,0,2,0.97,160,78.0,106,threatjapan_uracto,0,CHA,180,0.15,0
94,0,2,1.04,138,83.0,89,threatjapan_uracto,0,VTA,181,0.19,0
96,0,2,1.06,141,81.0,90,threatjapan_uracto,0,RTA,182,0.2,0
94,0,2,1.1,137,79.0,88,threatjapan_uracto,0,SPARK,181,0.24,0
-1,0,2,0.89,31,58.0,27,threatjapan_uracto,0,insens,-1,0.08,0
-1,0,2,0.9,31,71.0,27,threatjapan_uracto,0,B-2o,-1,0.1,0
-1,0,2,0.86,31,60.0,27,threatjapan_uracto,0,D-2o,-1,0.08,0
-1,0,2,0.87,31,64.0,27,threatjapan_uracto,0,D-2c,-1,0.08,0
-1,0,2,0.86,31,64.0,27,threatjapan_uracto,0,1c,-1,0.08,0
-1,0,2,0.86,31,61.0,27,threatjapan_uracto,0,2c,-1,0.08,0
-1,0,2,0.86,31,68.0,27,threatjapan_uracto,0,1o,-1,0.08,0
-1,0,2,0.86,31,61.0,27,threatjapan_uracto,0,2o,-1,0.08,0
-1,0,2,0.87,31,58.0,27,threatjapan_uracto,0,1t,-1,0.08,0
-1,0,2,0.86,31,58.0,27,threatjapan_uracto,0,2t,-1,0.08,0
-1,0,2,0.85,31,57.0,27,threatjapan_uracto,0,1h,-1,0.08,0
-1,0,2,0.86,31,57.0,27,threatjapan_uracto,0,2h,-1,0.08,0
-1,0,2,0.86,31,64.0,27,threatjapan_uracto,0,1ht,-1,0.07,0
-1,0,2,0.84,31,60.0,27,threatjapan_uracto,0,2ht,-1,0.08,0
-1,0,2,0.9,31,69.0,27,threatjapan_uracto,0,M-1o,-1,0.1,0
-1,0,2,0.92,31,65.0,27,threatjapan_uracto,0,M-2o,-1,0.1,0
-1,0,2,0.89,31,73.0,27,threatjapan_uracto,0,M-1c,-1,0.1,0
-1,0,2,0.91,31,64.0,27,threatjapan_uracto,0,M-2c,-1,0.1,0
-1,0,2,0.91,31,67.0,27,threatjapan_uracto,0,E-1o,-1,0.09,0
-1,0,2,0.89,31,63.0,27,threatjapan_uracto,0,E-2o,-1,0.09,0
-1,0,2,0.92,31,66.0,27,threatjapan_uracto,0,T-1o,-1,0.09,0
-1,0,2,0.93,31,68.0,27,threatjapan_uracto,0,T-2o,-1,0.11,0
-1,0,2,0.91,31,72.0,27,threatjapan_uracto,0,Z-1o,-1,0.11,0
-1,0,2,0.92,31,78.0,27,threatjapan_uracto,0,Z-2o,-1,0.11,0
-1,0,2,0.91,31,71.0,27,threatjapan_uracto,0,Z-1c,-1,0.12,0
-1,0,2,0.91,31,71.0,27,threatjapan_uracto,0,Z-2c,-1,0.12,0
-1,0,2,0.91,31,69.0,27,threatjapan_uracto,0,s-1c,-1,0.12,0
-1,0,2,0.98,31,69.0,27,threatjapan_uracto,0,s-2c,-1,0.12,0
