num_of_methods_propagated,expected_leaks,ground_truth,analysis_time,cg_edges,analysis_memory,reachable_methods,app_name,no_of_leaks,cg_name,num_edges_propagated,cg_construction_time,unexpected_leaks
1852,0,3,12.51,85113,286.0,7833,xbot_android_samp,0,CHA,1006,7.77,0
284,0,3,11.31,28023,315.0,4324,xbot_android_samp,0,VTA,1003,8.27,0
717,0,3,24.99,39417,829.0,5146,xbot_android_samp,0,RTA,1005,21.44,0
285,0,3,9.28,14839,198.0,2846,xbot_android_samp,0,SPARK,1007,6.94,0
50,0,3,6.26,10840,325.0,2412,xbot_android_samp,0,insens,120,4.27,0
50,0,3,546.69,10790,3490.0,2409,xbot_android_samp,0,B-2o,120,544.55,0
51,0,3,6.87,10840,479.0,2412,xbot_android_samp,0,D-2o,120,4.8,0
51,0,3,7.38,10840,529.0,2412,xbot_android_samp,0,D-2c,120,5.34,0
51,0,3,12.23,10826,363.0,2404,xbot_android_samp,0,1c,119,10.15,0
51,0,3,81.88,10752,1047.0,2396,xbot_android_samp,0,2c,120,79.84,0
51,0,3,73.64,10840,1082.0,2412,xbot_android_samp,0,1o,120,71.62,0
49,0,3,266.33,10769,3699.0,2403,xbot_android_samp,0,2o,120,264.51,0
51,0,3,11.47,10840,482.0,2412,xbot_android_samp,0,1t,120,9.37,0
49,0,3,104.61,10790,1422.0,2409,xbot_android_samp,0,2t,119,102.57,0
51,0,3,95.31,10840,1650.0,2412,xbot_android_samp,0,1h,119,93.31,0
50,0,3,614.47,10769,4350.0,2403,xbot_android_samp,0,2h,119,612.6,0
51,0,3,6.4,10840,319.0,2412,xbot_android_samp,0,1ht,120,4.26,0
51,0,3,6.3,10840,271.0,2412,xbot_android_samp,0,2ht,120,4.23,0
50,0,3,73.61,10840,1048.0,2412,xbot_android_samp,0,M-1o,120,71.52,0
51,0,3,707.87,10826,3547.0,2412,xbot_android_samp,0,M-2o,120,705.47,0
50,0,3,14.31,10826,455.0,2404,xbot_android_samp,0,M-1c,120,12.19,0
51,0,3,78.34,10752,1201.0,2396,xbot_android_samp,0,M-2c,120,76.17,0
58,0,3,65.07,10914,759.0,2420,xbot_android_samp,0,E-1o,120,63.0,0
58,0,3,744.76,10862,2480.0,2417,xbot_android_samp,0,E-2o,120,742.47,0
51,0,3,66.04,10840,1149.0,2412,xbot_android_samp,0,T-1o,118,63.64,0
51,0,3,772.08,10790,3404.0,2409,xbot_android_samp,0,T-2o,120,768.34,0
49,0,3,69.51,10835,809.0,2410,xbot_android_samp,0,Z-1o,120,67.3,0
51,0,3,652.14,10785,2707.0,2407,xbot_android_samp,0,Z-2o,120,650.03,0
51,0,3,16.09,10826,791.0,2404,xbot_android_samp,0,Z-1c,119,14.0,0
50,0,3,71.55,10752,1224.0,2396,xbot_android_samp,0,Z-2c,120,69.49,0
51,0,3,25.71,10826,1307.0,2404,xbot_android_samp,0,s-1c,120,23.48,0
51,0,3,83.65,10752,948.0,2396,xbot_android_samp,0,s-2c,120,81.48,0
